CODGEO;LIBGEO;Abstention;La France Insoumise;Parti Communiste;PS - Place Publique;Les Écologistes;Renaissance;Les Républicains;Reconquête;Rassemblement National;Parti Animaliste;Divers
01105;Civrieux;580;27;5;114;28;133;90;50;310;8;58
01106;Cize;61;9;1;13;5;4;3;7;31;1;5
01107;Cleyzieu;41;6;0;10;3;7;3;12;25;0;8
01108;Coligny;420;21;8;68;13;56;48;26;225;9;39
01109;Collonges;771;48;12;56;29;77;50;47;220;11;55
01110;Colomieu;58;13;2;8;2;5;3;1;24;1;8
01111;Conand;40;7;1;15;2;11;5;5;29;2;10
01112;Condamine;106;8;0;12;6;17;18;13;85;3;20
01113;Condeissiat;240;10;6;35;18;43;27;14;151;3;22
01114;Confort;172;20;9;22;23;21;11;12;76;6;15
01115;Confrançon;468;30;12;45;16;60;28;24;247;6;38
01116;Contrevoz;161;18;3;33;15;33;13;19;95;8;20
01117;Conzieu;50;11;1;7;2;12;2;6;25;0;2
01118;Corbonod;394;28;7;46;17;52;43;22;145;14;42
01121;Corlier;28;0;0;5;3;11;2;3;31;3;3
01123;Cormoranche-sur-Saône;414;20;8;56;10;81;60;14;206;6;32
01124;Cormoz;234;8;7;18;1;36;13;20;128;6;24
01125;Corveissiat;170;14;4;45;13;21;9;19;109;3;35
01127;Courmangoux;144;16;9;34;11;33;18;14;80;7;19
01128;Courtes;104;7;2;12;3;11;7;5;58;10;10
01129;Crans;81;8;0;13;8;19;14;5;62;2;16
01130;Bresse Vallons;841;33;17;103;30;111;67;68;412;10;80
01133;Cressin-Rochefort;116;3;2;18;10;28;12;6;83;5;20
01134;Crottet;494;25;11;88;22;129;67;54;361;18;60
01135;Crozet;610;51;5;81;57;130;63;55;201;12;64
01136;Cruzilles-lès-Mépillat;264;9;10;46;18;51;20;21;200;3;27
01138;Culoz-Béon;1142;81;13;123;54;117;73;62;490;38;87
01139;Curciat-Dongalon;142;10;3;11;4;28;7;9;83;4;24
01140;Curtafond;191;12;7;35;15;38;23;25;153;3;23
01141;Cuzieu;155;20;4;26;14;29;22;6;91;2;12
01142;Dagneux;1595;176;19;212;87;236;109;108;668;37;123
01143;Divonne-les-Bains;3526;177;19;435;233;873;363;231;635;65;236
01145;Dompierre-sur-Veyle;366;22;8;37;13;77;41;42;231;4;53
01146;Dompierre-sur-Chalaronne;112;3;0;21;2;24;17;8;85;6;12
01147;Domsure;194;10;2;14;3;22;25;10;104;1;25
01148;Dortan;566;37;12;45;22;96;51;52;345;13;51
01149;Douvres;298;25;7;79;35;68;35;43;189;18;63
01150;Drom;72;16;0;18;6;9;6;3;26;1;21
01151;Druillat;305;26;7;43;34;66;39;42;224;10;47
01152;Echallon;239;11;8;47;26;41;27;14;160;2;44
01153;Echenevex;675;30;8;99;51;155;51;36;148;7;62
01155;Evosges;44;2;0;11;5;7;3;9;35;1;8
01156;Faramans;262;13;6;30;13;42;35;26;214;3;28
01157;Fareins;809;59;34;140;60;196;95;54;415;11;72
01158;Farges;327;19;4;30;29;50;14;17;105;11;34
01159;Feillens;1283;51;11;127;47;228;131;78;569;19;69
01160;Ferney-Voltaire;2058;472;20;350;198;366;141;119;310;45;170
01162;Flaxieu;18;4;0;11;5;14;10;1;24;2;4
01163;Foissiat;763;14;8;56;35;113;72;45;353;14;48
01165;Francheleins;452;25;14;70;21;80;41;36;307;9;32
01166;Frans;778;64;11;94;49;199;89;61;393;20;74
01167;Garnerans;277;12;2;23;5;34;25;19;131;5;26
01169;Genouilleux;200;12;6;20;14;44;15;18;150;5;13
01170;Béard-Géovreissiat;361;33;8;21;10;41;24;20;185;3;23
01171;Géovreisset;226;31;2;21;10;46;20;17;123;4;24
01173;Gex;3810;325;28;432;265;556;227;179;746;55;319
01174;Giron;37;2;1;9;15;13;8;4;21;2;8
01175;Gorrevod;270;13;23;28;11;72;34;12;135;3;21
01177;Grand-Corent;47;21;1;18;5;11;5;5;28;2;12
01179;Grièges;695;33;17;89;33;129;54;41;314;17;76
01180;Grilly;265;13;1;45;24;80;42;18;71;4;27
01181;Groissiat;397;26;7;43;11;64;49;42;216;9;35
01183;Guéreins;530;39;9;63;24;74;52;30;238;11;50
01184;Hautecourt-Romanèche;246;15;10;64;19;37;24;27;133;5;35
01185;Plateau d'Hauteville;1477;95;47;221;110;257;112;97;526;35;144
01187;Haut Valromey;255;28;9;54;19;58;22;24;93;5;41
01188;Illiat;246;7;2;15;5;22;31;31;128;6;19
01189;Injoux-Génissiat;347;18;19;51;21;55;15;17;141;6;48
01190;Innimond;38;3;4;12;1;1;2;7;30;1;9
01191;Izenave;52;7;0;6;2;8;3;10;28;0;14
01192;Izernore;644;45;15;57;37;87;65;62;361;15;72
01193;Izieu;65;6;1;9;11;18;7;11;47;2;11
