CODGEO;LIBGEO;Abstention;La France Insoumise;Parti Communiste;PS - Place Publique;Les Écologistes;Renaissance;Les Républicains;Reconquête;Rassemblement National;Parti Animaliste;Divers
16368;Sers;315;28;8;68;30;43;11;24;119;10;42
16369;Sigogne;410;10;10;51;9;63;32;12;209;6;33
16370;Sireuil;418;31;16;64;38;64;19;12;197;10;45
16372;Souffrignac;36;2;0;8;2;11;2;5;33;2;6
16373;Souvigné;68;6;1;9;6;10;1;3;52;2;6
16374;Soyaux;3259;470;79;465;148;398;146;121;733;68;192
16375;Suaux;106;18;2;26;6;20;6;4;53;2;13
16377;La Tâche;33;0;4;11;1;3;2;1;22;5;3
16378;Taizé-Aizie;188;12;15;50;12;30;6;18;78;4;32
16379;Taponnat-Fleurignac;545;31;24;104;29;78;27;33;251;7;45
16380;Le Tâtre;159;5;5;15;1;20;9;12;61;5;17
16381;Theil-Rabier;63;0;3;7;2;11;7;1;24;2;8
16382;Torsac;292;29;10;56;13;49;23;19;117;5;31
16383;Tourriers;296;19;7;33;5;42;23;11;151;7;17
16384;Touvérac;219;7;1;26;8;23;13;8;106;2;27
16385;Touvre;420;25;20;94;19;71;29;29;206;11;38
16387;Triac-Lautrait;161;5;2;16;13;26;11;9;66;7;18
16388;Trois-Palis;329;33;14;57;25;67;16;13;143;8;37
16389;Turgon;36;2;0;7;1;9;2;3;13;3;4
16390;Tusson;71;9;0;16;12;24;3;3;39;4;8
16392;Valence;64;2;4;7;4;5;5;10;36;1;5
16393;Vars;878;36;9;105;40;124;56;36;364;16;74
16394;Vaux-Lavalette;22;2;2;1;1;3;2;0;21;0;5
16395;Vaux-Rouillac;94;6;1;13;3;22;6;7;41;4;14
16396;Ventouse;33;2;0;8;7;8;3;2;10;1;7
16397;Verdille;147;7;3;26;1;14;13;12;77;2;19
16398;Verneuil;23;2;2;2;2;3;2;2;13;2;8
16399;Verrières;105;3;0;11;5;29;23;14;30;5;22
16400;Verteuil-sur-Charente;174;7;9;30;13;39;10;10;75;8;20
16401;Vervant;51;1;0;6;3;8;5;1;29;3;6
16402;Vibrac;81;7;0;12;4;21;9;11;57;2;13
16403;Le Vieux-Cérier;33;3;1;6;5;7;6;2;20;0;3
16404;Vieux-Ruffec;34;1;0;7;3;4;2;3;16;0;10
16405;Vignolles;79;1;2;4;1;13;16;9;29;0;8
16406;Moulins-sur-Tardoire;260;16;13;35;8;45;27;20;138;3;26
16408;Villebois-Lavalette;181;9;9;43;11;42;23;16;112;11;25
16409;Villefagnan;323;15;11;43;17;57;23;10;160;7;24
16412;Villejoubert;125;4;4;18;10;13;2;7;83;4;15
16413;Villiers-le-Roux;32;0;2;5;5;6;5;1;17;0;5
16414;Villognon;131;4;1;14;0;13;3;7;86;3;18
16415;Vindelle;394;22;9;79;30;62;39;19;134;7;40
16416;Vitrac-Saint-Vincent;187;19;17;32;11;29;16;8;74;6;22
16418;Voeuil-et-Giget;634;43;16;139;26;115;54;42;257;14;39
16419;Vouharte;103;3;6;14;3;23;11;15;41;2;15
16420;Voulgézac;112;7;1;20;6;13;8;12;47;3;13
16421;Vouthon;134;3;3;18;2;17;8;5;114;6;14
16422;Vouzan;215;25;7;39;16;27;10;11;139;8;38
16423;Xambes;88;4;3;11;1;15;6;11;57;3;9
16424;Yviers;161;2;4;16;4;33;8;11;76;2;23
16425;Yvrac-et-Malleyrand;198;8;3;16;10;34;9;7;105;12;39
17002;Agudelle;52;4;6;7;2;6;3;2;26;0;4
17003;Aigrefeuille-d'Aunis;1756;92;43;298;91;237;107;83;638;35;176
17004;Ile-d'Aix;72;10;1;24;11;29;12;13;20;4;11
17005;Allas-Bocage;78;1;0;5;0;25;4;3;25;1;9
17006;Allas-Champagne;102;7;0;11;1;12;15;9;38;1;11
17007;Anais;93;10;4;13;7;11;11;7;49;4;29
17008;Andilly;783;42;28;120;45;107;50;26;298;12;76
17009;Angliers;499;31;11;50;35;32;37;19;166;9;50
17010;Angoulins;1487;111;33;367;172;394;136;95;412;46;130
17011;Annepont;146;8;6;29;7;16;6;5;51;1;13
17012;Annezay;52;2;0;18;2;16;6;13;25;1;4
17013;Antezant-la-Chapelle;108;4;0;12;2;16;8;4;56;4;15
17015;Arces;270;6;1;53;15;35;18;24;154;7;33
17016;Archiac;314;5;6;29;8;41;28;17;102;6;31
17017;Archingeay;238;9;10;28;14;35;16;13;141;0;30
17018;Ardillières;397;16;7;39;23;39;10;13;139;5;37
17019;Ars-en-Ré;498;22;14;124;39;172;76;36;120;14;45
17020;Arthenac;119;2;3;13;1;13;10;7;44;1;25
17021;Arvert;1379;47;48;204;54;240;96;113;918;32;121
17022;Asnières-la-Giraud;445;14;10;40;12;57;21;28;178;9;34
17023;Aujac;154;0;2;20;1;21;7;6;47;2;28
17024;Aulnay;483;17;9;64;22;86;44;29;252;4;54
17025;Aumagne;270;18;3;33;22;37;14;18;80;3;37
17026;Authon-Ebéon;187;3;7;10;0;20;14;20;64;3;14
17027;Avy;162;10;5;27;12;19;21;11;76;8;22
17028;Aytré;3136;310;113;704;357;517;158;141;843;71;249
17029;Bagnizeau;57;3;4;18;3;19;8;1;34;1;11
17030;Balanzac;184;10;7;30;5;16;20;18;100;4;29
17031;Ballans;90;1;7;8;1;9;2;2;40;2;8
17032;Ballon;297;15;5;50;23;32;10;10;100;6;41
17033;La Barde;142;9;2;14;7;15;4;4;127;5;31
17034;Barzan;172;14;2;22;3;16;11;14;86;3;29
17035;Bazauges;32;4;4;8;0;9;8;4;13;2;3
17036;Beaugeay;246;14;6;19;12;41;17;15;155;7;41
17037;Beauvais-sur-Matha;224;9;3;24;7;26;21;13;97;11;15
17038;Bedenac;157;12;5;12;6;19;4;23;98;3;20
17039;Belluire;78;1;1;4;1;16;3;2;51;0;11
17041;Benon;606;31;13;66;20;56;35;33;247;10;57
17042;Bercloux;176;5;6;25;2;14;14;10;72;4;27
17043;Bernay-Saint-Martin;326;20;12;25;19;16;14;14;106;7;43
17044;Berneuil;407;16;8;29;14;53;26;23;206;12;56
17045;Beurlay;374;6;9;27;12;41;24;16;172;7;42
17046;Bignay;128;4;8;19;5;20;7;12;70;1;15
17047;Biron;95;3;4;4;0;10;7;4;47;1;16
17048;Blanzac-lès-Matha;140;7;2;12;6;18;18;8;55;3;13
17049;Blanzay-sur-Boutonne;18;3;0;2;1;10;9;3;11;1;5
17050;Bois;180;7;4;13;4;23;5;15;84;1;27
17051;Le Bois-Plage-en-Ré;955;50;20;226;54;374;154;97;299;21;93
17052;Boisredon;220;16;4;37;7;36;18;15;136;3;44
17053;Bords;506;21;16;49;29;64;25;18;254;14;52
17054;Boresse-et-Martron;76;9;3;16;7;10;2;3;34;0;21
17055;Boscamnant;54;4;0;14;3;12;4;8;47;2;10
17056;Bougneau;195;12;8;18;6;24;6;16;145;8;38
17057;Bouhet;298;15;10;35;9;39;14;9;112;12;35
17058;Bourcefranc-le-Chapus;1327;78;40;169;52;192;68;93;624;48;111
17059;Bourgneuf;490;35;18;113;46;116;58;22;192;11;54
17060;Boutenac-Touvent;67;2;1;12;2;15;14;2;46;3;11
17061;Bran;38;0;1;7;3;14;2;1;16;2;11
17062;Bresdon;83;5;4;13;4;19;6;3;31;0;9
17063;Breuil-la-Réorte;131;12;7;26;10;25;21;11;74;7;22
17064;Breuillet;1121;42;23;211;69;336;141;110;506;28;94
17065;Breuil-Magné;534;63;16;164;69;148;48;30;271;11;79
17066;Brie-sous-Archiac;72;4;0;10;5;21;7;12;39;6;17
17067;Brie-sous-Matha;77;0;0;9;2;8;3;6;15;3;9
17068;Brie-sous-Mortagne;101;1;2;15;4;18;9;11;69;0;10
17069;Brives-sur-Charente;69;4;3;17;4;10;5;13;38;5;7
17070;Brizambourg;339;16;10;32;13;42;19;15;161;5;48
17071;La Brousse;158;9;3;13;1;21;9;11;69;3;28
17072;Burie;413;23;5;38;19;56;29;34;218;12;43
17073;Bussac-sur-Charente;392;27;24;91;40;78;33;33;244;17;50
17074;Bussac-Forêt;412;9;8;34;14;36;13;19;192;8;49
17075;Cabariot;523;26;18;56;21;71;30;23;274;10;67
17076;Celles;107;7;1;10;6;23;6;4;55;4;15
17077;Cercoux;455;22;11;47;22;66;23;32;234;6;60
17078;Chadenac;200;6;5;20;6;13;14;24;65;1;17
17079;Chaillevette;573;24;9;82;36;106;45;52;324;14;81
17080;Chambon;383;18;9;45;31;37;22;10;125;11;43
17081;Chamouillac;143;6;13;14;0;25;2;8;80;3;20
17082;Champagnac;216;5;2;32;5;32;20;7;85;5;24
17083;Champagne;231;12;9;30;13;33;20;18;107;5;16
17084;Champagnolles;235;11;6;23;8;30;16;14;108;4;40
17085;Champdolent;154;12;2;24;7;15;9;1;87;4;16
17086;Chaniers;1356;59;42;249;87;271;98;93;599;34;153
17087;Chantemerle-sur-la-Soie;69;2;4;5;1;8;5;2;43;1;9
17089;La Chapelle-des-Pots;232;25;16;75;31;43;14;22;153;7;42
17091;Charron;783;51;16;115;39;100;49;32;348;12;74
17092;Chartuzac;53;9;7;7;1;10;2;1;34;3;2
17093;Le Château-d'Oléron;1773;86;39;315;107;287;87;103;647;39;127
17094;Châtelaillon-Plage;2335;126;63;598;187;753;459;198;865;63;223
17095;Chatenet;78;7;0;16;3;11;11;5;38;1;18
17096;Chaunac;14;8;1;3;3;10;6;3;8;2;2
17097;Le Chay;312;8;11;46;17;70;29;18;158;10;35
17098;Chenac-Saint-Seurin-d'Uzet;218;14;8;35;22;49;21;26;121;6;36
17099;Chepniers;259;10;4;34;13;49;13;16;124;9;37
17100;Chérac;381;10;5;42;15;70;32;25;187;7;53
17101;Cherbonnières;109;10;2;18;4;16;6;2;80;6;8
17102;Chermignac;333;22;9;83;22;114;37;21;220;19;45
17104;Chevanceaux;371;8;7;68;17;56;23;19;118;7;46
17105;Chives;125;1;0;23;3;21;3;11;66;0;19
17106;Cierzac;101;5;4;10;5;12;6;5;38;0;17
17107;Ciré-d'Aunis;460;37;10;61;26;44;29;22;249;14;60
17108;Clam;147;2;7;23;4;24;5;9;76;2;26
17109;Clavette;448;32;10;98;50;110;31;35;151;7;46
17110;Clérac;377;35;10;39;7;35;15;23;174;14;39
17111;Clion;253;8;11;40;10;42;15;16;136;5;57
17112;La Clisse;264;9;5;42;6;34;21;16;107;4;16
17113;La Clotte;216;11;4;23;12;39;17;15;140;10;23
17114;Coivert;44;8;0;10;2;12;10;2;37;7;10
17115;Colombiers;109;9;3;24;14;14;8;5;43;5;9
17116;Consac;93;2;7;8;2;18;10;10;37;2;9
17117;Contré;46;1;6;13;0;11;3;0;28;1;7
17118;Corignac;150;8;4;9;5;7;8;8;95;2;13
17119;Corme-Ecluse;400;16;8;56;32;58;20;19;231;13;53
17120;Corme-Royal;665;24;20;104;40;110;45;36;322;17;77
17121;La Couarde-sur-Mer;490;19;8;130;36;194;126;47;139;16;54
17122;Coulonges;67;5;4;12;0;9;10;5;51;3;25
17124;Courant;148;4;5;12;6;10;16;10;64;1;14
17125;Courcelles;157;5;8;29;4;17;21;6;72;7;22
17126;Courcerac;88;4;2;18;4;13;6;3;74;5;15
17127;Courçon;628;26;13;86;43;92;38;37;240;16;73
17128;Courcoury;253;14;6;41;21;46;14;15;95;11;43
17129;Courpignac;152;7;1;11;7;23;5;13;88;3;25
17130;Coux;184;6;4;24;8;20;5;16;90;2;21
17131;Cozes;818;36;15;108;37;163;53;49;394;23;85
17132;Cram-Chaban;260;14;9;41;11;23;9;5;91;5;22
17133;Cravans;251;8;7;24;14;41;21;20;132;17;48
17134;Crazannes;134;14;3;42;16;26;11;9;68;3;11
17135;Cressé;78;3;2;8;5;8;3;5;32;3;15
17136;Croix-Chapeau;362;28;13;104;27;96;29;30;170;12;43
17137;La Croix-Comtesse;71;5;3;17;5;13;8;2;30;1;11
17138;Dampierre-sur-Boutonne;89;6;3;9;3;24;10;7;32;1;17
17139;Doeuil-sur-le-Mignon;137;5;4;17;4;19;11;16;52;2;15
17140;Dolus-d'Oléron;1350;83;33;255;103;247;98;95;584;38;132
17141;Dompierre-sur-Charente;155;13;4;26;4;23;19;5;66;8;22
17142;Dompierre-sur-Mer;2352;150;61;484;174;484;184;116;757;47;178
17143;Le Douhet;253;21;11;55;20;36;16;8;140;6;42
17145;Echebrune;189;4;5;20;5;34;17;16;82;4;13
17146;Echillais;1489;75;35;215;69;221;110;99;667;42;120
17147;Ecoyeux;447;25;12;79;22;58;25;36;218;10;54
17148;Ecurat;141;9;9;27;14;21;16;12;92;11;17
17149;Les Eduts;19;0;1;4;0;2;1;0;7;0;2
17150;Les Eglises-d'Argenteuil;210;4;4;15;7;18;8;12;82;2;19
17151;L'Eguille;379;14;11;46;23;54;28;22;150;9;30
17152;Epargnes;333;11;10;36;14;54;33;22;140;8;36
17153;Esnandes;777;66;31;166;67;142;43;33;347;19;76
17154;Les Essards;232;16;6;32;13;36;40;11;112;6;33
17155;Etaules;860;56;32;168;50;172;73;77;586;36;99
17156;Expiremont;40;2;2;5;2;5;6;2;25;1;12
17157;Fenioux;37;3;3;11;0;11;4;1;21;5;4
17158;Ferrières;518;31;16;40;15;34;20;23;199;13;43
17159;Fléac-sur-Seugne;143;9;3;13;9;21;9;11;56;1;21
17160;Floirac;109;3;3;16;8;33;22;6;64;2;26
17161;La Flotte;1267;67;36;224;61;335;157;126;430;35;128
17162;Fontaine-Chalendray;75;5;2;6;0;13;3;5;34;5;11
17163;Fontaines-d'Ozillac;180;9;3;7;7;31;17;6;66;3;26
17164;Fontcouverte;752;51;54;166;52;203;71;54;343;20;82
17165;Fontenet;148;7;8;14;5;16;7;12;87;4;17
17166;Forges;411;22;14;71;22;58;21;33;169;14;38
17167;Le Fouilloux;324;6;4;7;2;33;13;17;138;3;23
17168;Fouras;1585;91;44;409;156;517;206;151;613;58;147
17171;Geay;215;8;12;42;24;37;17;17;130;3;52
17172;Gémozac;977;36;27;109;24;176;82;73;424;16;98
17173;La Genétouze;99;1;0;6;6;13;6;6;55;3;12
17174;Genouillé;338;13;9;36;15;50;13;14;132;3;33
17175;Germignac;232;1;6;24;3;27;17;11;101;7;28
17176;Gibourne;42;0;0;6;0;4;8;1;20;1;5
17177;Le Gicq;51;3;0;4;2;3;1;0;20;1;6
17178;Givrezac;23;0;1;0;4;6;7;2;9;1;11
17179;Les Gonds;558;42;20;112;40;136;61;49;286;24;62
17180;Gourvillette;40;5;0;8;0;5;1;6;17;2;2
17181;Grandjean;107;9;5;15;9;14;9;4;44;2;14
17182;La Grève-sur-Mignon;209;7;2;26;17;41;11;6;87;1;21
17183;Grézac;354;10;5;24;5;56;24;32;208;5;49
17184;La Gripperie-Saint-Symphorien;183;12;8;20;15;25;7;10;102;5;36
17185;Le Gua;688;18;18;88;42;111;39;40;332;11;79
17186;Le Gué-d'Alleré;417;23;8;43;20;34;11;16;158;9;24
17187;Guitinières;163;3;3;21;14;39;9;16;88;1;19
17188;Haimps;148;5;8;38;5;24;20;5;88;3;19
17190;L'Houmeau;870;70;45;323;95;302;112;69;291;30;80
17191;La Jard;159;6;8;17;5;8;8;15;91;5;10
17192;Jarnac-Champagne;274;19;18;37;17;87;23;14;126;5;49
17193;La Jarne;867;60;37;197;61;198;104;49;315;30;96
17194;La Jarrie;1347;82;47;257;123;250;89;67;410;27;115
17195;La Jarrie-Audouin;120;5;3;8;7;15;10;10;39;2;17
17196;Jazennes;201;4;1;23;5;45;14;17;104;2;18
17197;Jonzac;1338;77;23;203;37;263;101;71;370;39;118
17198;Juicq;80;9;4;23;10;19;12;3;34;8;10
17199;Jussas;40;3;1;13;0;6;1;5;25;1;5
17200;Lagord;2541;186;87;710;267;764;343;197;803;62;206
17201;La Laigne;152;9;7;28;16;24;7;5;55;6;14
17202;Landes;166;10;13;28;11;50;10;12;102;8;19
17203;Landrais;207;24;10;49;22;42;27;18;100;10;45
17204;Léoville;100;6;4;18;4;17;4;2;32;3;16
17205;Loire-les-Marais;153;12;3;15;11;21;14;6;76;1;11
17206;Loiré-sur-Nie;124;6;3;11;2;14;8;3;40;2;7
17207;Loix;265;9;3;67;13;102;69;37;77;4;36
17208;Longèves;354;8;12;57;13;46;32;14;156;14;41
17209;Lonzac;75;6;1;17;4;12;17;6;40;1;24
17210;Lorignac;206;7;5;24;8;31;5;7;84;1;39
17211;Loulay;260;17;5;26;8;31;11;19;137;9;21
17212;Louzignac;65;1;4;2;3;7;7;2;37;2;2
17213;Lozay;48;1;0;9;0;9;6;5;40;1;7
17214;Luchat;189;9;2;16;16;27;14;12;127;7;16
17215;Lussac;11;0;0;0;0;1;0;2;12;0;2
17216;Lussant;387;22;7;29;16;58;24;9;140;7;28
17217;Macqueville;82;4;5;6;2;25;7;7;42;4;7
17218;Marans;1829;107;30;197;68;256;84;89;640;24;157
17219;Marennes-Hiers-Brouage;2501;129;54;369;96;383;153;132;1060;57;230
17220;Marignac;147;5;4;20;7;29;18;12;55;3;17
17221;Marsais;326;24;8;54;15;47;10;18;117;9;41
17222;Marsilly;1095;58;22;311;113;332;137;81;386;36;107
17223;Massac;75;9;4;14;1;12;0;8;14;4;9
17224;Matha;868;21;13;87;20;124;52;44;344;23;76
17225;Les Mathes;883;27;25;130;32;220;91;122;553;29;71
17226;Mazeray;399;27;14;45;18;55;23;14;162;8;35
17227;Mazerolles;86;4;1;8;9;21;7;3;40;0;9
17228;Médis;1266;52;26;158;49;250;116;83;686;29;129
17229;Mérignac;113;1;1;11;2;16;6;2;44;3;13
17230;Meschers-sur-Gironde;1347;74;32;240;46;316;121;130;692;44;115
17231;Messac;32;4;1;10;1;2;4;2;30;0;6
17232;Meursac;534;20;13;61;18;67;31;37;286;7;80
17233;Meux;126;4;0;15;11;29;7;8;37;2;13
17234;Migré;112;8;4;15;5;10;12;10;46;7;17
17235;Migron;211;12;3;28;7;32;11;23;137;5;35
17236;Mirambeau;463;26;10;61;15;74;31;45;249;10;69
17237;Moëze;170;17;7;19;3;30;13;16;122;6;28
17239;Mons;142;1;2;11;1;15;13;9;95;2;16
17240;Montendre;1229;78;28;165;65;171;58;56;450;26;117
17241;Montguyon;551;31;9;56;15;76;43;27;249;11;45
17242;Montils;268;14;24;54;17;41;21;25;120;7;40
17243;Montlieu-la-Garde;454;34;8;55;14;52;16;15;159;9;47
17244;Montpellier-de-Médillan;234;12;11;39;11;35;21;23;144;0;39
17245;Montroy;313;25;12;93;24;59;31;19;110;9;47
17246;Moragne;196;13;4;19;7;21;9;11;97;6;13
17247;Mornac-sur-Seudre;251;23;10;77;34;99;39;23;134;15;35
17248;Mortagne-sur-Gironde;350;26;6;52;26;62;18;27;127;9;78
17249;Mortiers;63;4;0;2;0;19;7;5;19;1;11
17250;Mosnac;200;6;2;27;10;33;9;11;73;5;19
17252;Le Mung;71;6;0;27;10;13;9;8;60;5;21
17253;Muron;483;20;9;42;9;51;14;24;225;14;38
17254;Nachamps;67;3;0;8;8;14;3;3;31;4;19
17255;Nancras;279;14;6;28;14;44;21;23;148;4;28
17256;Nantillé;121;10;3;11;5;20;8;6;60;1;21
17257;Néré;253;8;8;32;7;35;7;19;87;3;24
17258;Neuillac;127;5;1;18;7;12;9;2;42;4;7
17259;Neulles;48;3;0;12;1;13;5;7;18;0;10
17260;Neuvicq;167;5;1;20;11;13;7;8;69;5;34
17261;Neuvicq-le-Château;137;10;2;19;3;11;7;12;76;2;9
17262;Nieul-lès-Saintes;427;20;16;62;25;71;37;28;204;8;49
17263;Nieul-le-Virouil;223;1;3;23;7;31;11;20;86;8;42
17264;Nieul-sur-Mer;2010;131;75;622;239;576;181;135;626;54;217
17265;Nieulle-sur-Seudre;399;15;16;46;15;47;18;21;217;8;53
17266;Les Nouillers;213;9;5;21;17;27;11;27;116;3;35
17267;Nuaillé-d'Aunis;351;24;9;69;26;48;32;8;163;11;38
17268;Nuaillé-sur-Boutonne;50;0;3;18;9;12;10;3;36;0;14
17269;Orignolles;269;14;5;23;9;43;16;11;133;3;25
17270;Ozillac;187;15;6;34;10;37;22;16;86;7;27
17271;Paillé;120;3;3;16;2;6;2;11;65;4;26
17273;Pérignac;347;23;7;57;12;70;25;26;135;11;38
17274;Périgny;2865;242;93;752;272;723;281;146;826;70;268
17275;Pessines;300;28;9;38;15;70;22;22;156;10;45
17276;Le Pin;22;1;2;8;1;2;0;0;12;1;7
17277;Essouvert;431;15;10;55;19;62;26;31;197;11;40
17278;Pisany;243;12;9;53;14;45;13;19;107;6;24
17279;Plassac;247;12;10;15;4;29;17;11;116;1;53
17280;Plassay;226;10;7;32;14;36;25;18;150;7;41
17281;Polignac;52;6;3;13;3;4;5;3;27;0;6
17282;Pommiers-Moulons;75;6;3;12;5;24;9;3;32;1;15
17283;Pons;1624;105;35;166;58;240;96;94;525;17;130
17284;Pont-l'Abbé-d'Arnoult;707;23;11;76;29;111;66;52;290;23;87
17285;Port-d'Envaux;340;35;10;80;44;89;26;30;209;6;70
17286;Les Portes-en-Ré;291;8;4;55;15;131;69;30;77;3;24
17287;Pouillac;114;5;3;12;2;4;7;12;37;1;15
17288;Poursay-Garnaud;103;2;2;9;1;13;10;3;73;0;9
17289;Préguillac;129;6;6;34;18;38;18;13;77;1;26
17290;Prignac;122;5;2;13;4;15;3;12;50;1;12
17291;Puilboreau;2391;129;79;500;149;466;159;115;648;59;149
17292;Puy-du-Lac;186;6;9;17;5;21;13;10;92;8;24
17293;Puyravault;228;15;4;51;13;48;10;14;90;11;29
17294;Puyrolland;57;3;3;6;7;9;7;2;35;1;12
17295;Réaux sur Trèfle;306;16;10;44;14;54;25;14;114;2;35
17296;Rétaud;393;29;8;68;17;52;28;33;183;16;47
17297;Rivedoux-Plage;975;51;19;199;75;320;130;80;288;43;96
17298;Rioux;318;14;10;50;8;41;28;21;155;8;26
17299;Rochefort;8311;681;223;1579;597;1321;528;454;2418;163;625
17300;La Rochelle;27639;2653;586;6322;2926;5030;1769;1162;5039;541;1855
17301;Romazières;21;0;1;5;5;8;1;0;15;1;5
17302;Romegoux;256;10;4;27;12;28;14;15;116;6;26
17303;La Ronde;334;19;9;39;19;48;18;8;155;10;60
17304;Rouffiac;157;4;7;26;6;38;11;12;82;3;15
17305;Rouffignac;165;10;7;11;5;10;6;6;63;8;28
17306;Royan;6983;283;166;1312;332;2090;927;762;2887;181;463
17307;Sablonceaux;597;18;18;48;53;73;45;31;246;11;51
17308;Saint-Agnant;961;63;22;135;52;134;72;53;486;22;107
17309;Saint-Aigulin;727;29;17;67;20;97;28;47;382;18;71
17310;Saint-André-de-Lidon;415;26;13;51;22;56;31;28;220;8;61
17311;Saint-Augustin;526;16;11;76;21;103;45;44;277;18;52
17312;Saint-Bonnet-sur-Gironde;333;6;4;19;5;48;14;15;123;7;33
17313;Saint-Bris-des-Bois;125;10;10;23;5;23;10;11;70;6;24
17314;Saint-Césaire;346;24;12;57;22;41;22;15;156;5;37
17315;Saint-Christophe;582;33;14;63;32;77;25;24;171;4;60
17316;Saint-Ciers-Champagne;139;3;2;11;7;33;14;11;54;6;17
17317;Saint-Ciers-du-Taillon;197;4;6;22;1;38;11;18;97;1;26
17318;Saint-Clément-des-Baleines;234;13;4;60;22;114;34;33;95;5;25
17319;Sainte-Colombe;51;3;3;6;8;3;6;2;11;2;11
17320;Saint-Coutant-le-Grand;136;5;3;15;12;11;7;9;71;2;19
17321;Saint-Crépin;112;7;3;12;6;22;11;2;45;4;20
17322;Saint-Cyr-du-Doret;184;8;3;18;14;25;11;4;87;8;21
17323;Saint-Denis-d'Oléron;549;22;28;116;46;138;55;56;252;13;45
17324;Saint-Dizant-du-Bois;33;2;3;5;1;5;2;2;42;1;6
17325;Saint-Dizant-du-Gua;216;3;5;22;5;20;9;14;83;10;33
17326;Saint-Eugène;107;3;2;7;6;15;19;3;45;0;19
17327;Saint-Félix;90;9;1;18;11;5;13;6;43;5;9
17328;Saint-Fort-sur-Gironde;296;10;10;34;8;69;18;25;167;4;63
17329;Saint-Froult;118;11;1;20;10;17;7;7;58;6;15
17330;Sainte-Gemme;480;12;13;32;26;58;28;25;184;9;62
17331;Saint-Genis-de-Saintonge;449;13;18;48;16;85;41;23;179;11;39
17332;Saint-Georges-Antignac;138;5;2;15;5;22;17;11;58;3;21
17333;Saint-Georges-de-Didonne;2190;86;46;467;104;649;263;215;856;53;132
17334;Saint-Georges-de-Longuepierre;74;4;0;9;1;14;6;10;40;2;11
17335;Saint-Georges-des-Agoûts;90;4;4;12;6;10;5;7;41;4;23
17336;Saint-Georges-des-Coteaux;902;62;24;192;62;264;84;98;443;23;100
17337;Saint-Georges-d'Oléron;1547;103;56;316;74;326;134;118;750;64;147
17338;Saint-Georges-du-Bois;724;43;20;89;33;78;38;37;279;16;93
17339;Saint-Germain-de-Lusignan;427;8;15;78;28;116;24;19;193;11;54
17340;Saint-Pierre-La-Noue;568;28;12;69;44;95;42;25;245;11;56
17341;Saint-Germain-de-Vibrac;68;2;2;11;1;8;7;3;42;3;11
17342;Saint-Germain-du-Seudre;148;5;1;19;6;21;6;7;69;2;22
17343;Saint-Grégoire-d'Ardennes;64;0;4;3;0;13;0;8;19;4;3
17344;Saint-Hilaire-de-Villefranche;507;35;19;64;22;68;28;22;206;8;47
17345;Saint-Hilaire-du-Bois;135;3;8;14;3;14;7;7;58;2;22
17346;Saint-Hippolyte;531;21;8;53;25;67;28;28;221;12;48
17347;Saint-Jean-d'Angély;2852;150;63;404;132;367;175;125;732;58;170
17348;Saint-Jean-d'Angle;201;14;6;25;15;24;18;8;118;10;20
17349;Saint-Jean-de-Liversay;1101;50;29;126;54;170;58;27;359;29;108
17350;Saint-Julien-de-l'Escap;317;8;11;52;15;58;17;32;163;7;61
17351;Saint-Just-Luzac;798;31;6;105;30;93;24;43;412;21;100
17353;Saint-Laurent-de-la-Prée;779;69;17;173;67;173;61;49;346;20;97
17354;Saint-Léger;217;8;7;27;6;39;14;19;148;8;44
17355;Sainte-Lheurine;191;9;2;12;1;28;17;6;83;4;20
17356;Saint-Loup;106;7;5;11;11;24;10;14;51;1;13
17357;Saint-Maigrin;226;11;1;17;4;33;8;14;66;4;47
17358;Saint-Mandé-sur-Brédoire;98;1;8;13;1;20;9;7;50;1;9
17359;Saint-Mard;422;15;24;61;16;55;21;27;180;12;62
17360;Sainte-Marie-de-Ré;1373;84;28;337;136;402;181;119;370;39;133
17361;Saint-Martial;46;4;0;7;0;6;4;1;17;5;7
17362;Saint-Martial-de-Mirambeau;88;4;5;13;4;15;9;6;53;3;13
17363;Saint-Martial-de-Vitaterne;158;11;4;26;11;28;6;11;90;2;18
17364;Saint-Martial-sur-Né;181;3;4;21;4;21;9;17;63;0;23
17365;Saint-Martin-d'Ary;153;5;6;23;9;35;11;12;100;6;21
17366;Saint-Martin-de-Coux;157;13;2;12;3;31;7;13;88;1;27
17367;Saint-Martin-de-Juillers;47;5;5;7;2;4;0;3;25;0;14
17369;Saint-Martin-de-Ré;676;29;11;117;32;176;99;53;217;15;60
17372;Saint-Médard;31;0;0;3;0;0;2;2;13;0;7
17373;Saint-Médard-d'Aunis;818;47;22;144;60;100;71;25;224;30;77
17374;Sainte-Même;104;2;2;8;5;8;4;11;44;1;10
17375;Saint-Nazaire-sur-Charente;402;22;10;50;19;72;36;24;228;18;38
17376;Saint-Ouen-d'Aunis;757;35;11;98;35;92;41;21;256;21;57
17377;Saint-Ouen-la-Thène;33;0;1;6;1;4;2;3;25;0;8
17378;Saint-Palais-de-Négrignac;146;2;6;9;4;20;13;13;92;3;27
17379;Saint-Palais-de-Phiolin;70;2;3;5;5;13;8;2;37;1;8
17380;Saint-Palais-sur-Mer;1561;58;39;335;84;610;283;213;777;43;129
17381;Saint-Pardoult;90;5;1;7;2;10;3;5;35;0;5
17382;Saint-Pierre-d'Amilly;215;10;5;40;10;32;13;14;87;6;24
