Labels;Couleurs
Abstention;#000000
Parti Communiste;#9d0d16
La France Insoumise;#ff3333
PS - Place Publique;#ff6d90
Les Écologistes;#23b73d
Renaissance;#ff9f0e
Les Républicains;#2443a7
Divers;#0890c5
Rassemblement National;#8d6026
Reconquête;#654519
Parti Animaliste;#617b75
