CODGEO;LIBGEO;Abstention;LO;PCF;LFI;Génération.s;PS - Place Publique;EELV;Renaissance;UDI;LR;Debout la France;RN;Patriotes, Jaunes, Citoyens;UPR;Alliance Jaune;Divers
100;France entière;23614588;176339;564949;1428548;741772;1403170;3055023;5079015;566057;1920407;795508;5286939;147140;265469;121209;1103629
01001;L'Abergement-Clémenciat;268;3;4;13;4;18;52;64;8;28;23;78;2;1;1;15
01002;L'Abergement-de-Varey;69;1;1;6;0;6;36;29;4;16;4;22;0;1;0;9
01004;Ambérieu-en-Bugey;3975;22;97;307;114;230;471;726;106;368;164;1027;30;46;28;219
01005;Ambérieux-en-Dombes;596;4;2;24;20;22;68;119;13;57;29;178;4;5;5;14
01006;Ambléon;34;0;4;2;5;2;7;12;0;9;7;16;0;0;0;1
01007;Ambronay;823;6;12;65;29;43;164;195;18;107;45;294;6;8;4;38
01008;Ambutrix;238;3;6;17;5;21;52;54;15;27;12;74;3;1;1;20
01009;Andert-et-Condon;117;3;1;7;7;7;18;39;2;17;6;38;0;1;0;5
01010;Anglefort;391;1;5;22;5;13;42;68;5;29;11;110;0;9;0;17
01011;Apremont;109;0;2;7;2;8;26;15;5;16;5;51;1;1;1;8
01012;Aranc;118;2;5;13;3;4;19;27;1;11;7;33;0;2;1;7
01013;Arandas;54;2;1;1;2;0;7;7;0;13;2;31;0;0;0;3
01014;Arbent;1310;9;15;59;21;40;102;183;19;94;37;232;5;18;6;26
01015;Arboys en Bugey;227;1;5;14;5;12;45;79;6;32;9;65;0;3;1;14
01016;Arbigny;175;2;1;10;6;4;14;16;1;20;10;44;1;1;1;4
01017;Argis;102;0;7;23;3;5;16;23;1;10;5;73;3;5;0;14
01019;Armix;11;0;0;3;3;0;0;6;0;2;1;4;0;0;2;3
01021;Ars-sur-Formans;392;2;8;8;3;17;76;118;19;106;29;115;4;6;2;19
01022;Artemare;413;3;8;29;9;14;39;65;7;52;26;149;5;5;3;14
01023;Asnières-sur-Saône;12;3;0;1;1;2;4;3;0;5;2;10;0;1;0;1
01024;Attignat;1300;12;14;45;43;39;120;229;35;120;42;264;14;10;3;51
01025;Bâgé-Dommartin;1533;4;18;50;30;64;159;298;44;142;85;361;8;10;3;56
01026;Bâgé-le-Châtel;271;4;4;14;4;12;37;81;14;27;10;61;3;0;2;8
01027;Balan;595;0;2;19;6;14;70;122;20;51;24;166;5;10;2;36
01028;Baneins;196;1;2;10;2;11;20;29;1;24;6;96;1;5;1;15
01029;Beaupont;213;2;5;12;2;2;18;42;8;18;14;64;2;3;2;8
01030;Beauregard;268;4;5;5;2;8;38;48;4;39;5;73;2;0;0;11
01031;Bellignat;1061;8;21;49;19;23;62;149;13;111;35;229;7;9;1;37
01032;Béligneux;941;10;16;53;25;49;115;160;13;92;49;246;11;9;2;44
01033;Valserhône;5372;26;66;232;105;184;490;713;94;325;148;939;26;55;19;152
01034;Belley;2905;15;37;147;72;138;324;586;60;311;93;664;22;31;14;111
01035;Belleydoux;124;0;1;7;6;10;24;15;2;8;10;33;0;2;0;5
01036;Valromey-sur-Seran;446;4;20;46;21;38;91;117;13;65;26;123;3;9;3;7
01037;Bénonces;101;1;2;3;6;6;11;20;5;30;4;35;0;0;1;4
01038;Bény;291;0;7;9;11;14;33;61;7;33;12;73;2;5;1;6
01039;Béon;160;1;2;10;11;10;20;49;4;12;8;43;2;1;1;10
01040;Béréziat;207;2;1;8;3;8;18;26;4;14;6;34;1;2;0;6
01041;Bettant;257;2;8;21;10;12;49;46;12;22;14;93;3;2;2;16
01042;Bey;116;1;0;9;2;7;28;21;3;8;7;14;0;1;0;5
01043;Beynost;1669;3;30;59;42;125;324;504;64;191;65;355;9;18;7;63
01044;Billiat;217;1;1;10;4;18;26;41;3;13;10;50;3;4;3;15
01045;Birieux;99;0;1;2;1;3;12;18;5;7;7;36;0;0;0;7
01046;Biziat;319;0;5;9;9;11;37;53;16;40;16;86;0;5;1;6
01047;Blyes;323;2;6;17;7;21;54;83;11;40;14;106;5;5;1;15
01049;La Boisse;1063;6;30;57;28;63;146;244;32;101;48;246;4;21;7;64
01050;Boissey;114;0;0;4;1;2;6;12;2;35;4;43;1;0;0;2
01051;Bolozon;38;2;1;1;3;6;7;7;0;3;4;12;0;0;0;3
01052;Bouligneux;105;1;0;1;1;8;12;30;7;26;6;43;1;5;0;2
01053;Bourg-en-Bresse;11966;64;207;558;350;836;1575;2394;245;1103;307;1863;65;124;47;408
01054;Bourg-Saint-Christophe;335;6;11;27;13;33;87;121;16;43;25;161;11;6;3;13
01056;Boyeux-Saint-Jérôme;125;0;1;10;3;6;22;36;4;27;9;44;4;2;1;3
01057;Boz;208;1;5;13;4;4;22;23;2;8;4;63;3;1;1;10
01058;Brégnier-Cordon;280;5;5;22;3;9;47;57;3;32;12;93;2;4;6;13
01060;Brénod;170;0;3;9;4;12;30;49;7;35;2;56;1;3;2;11
01061;Brens;356;5;1;24;10;29;71;75;13;43;32;152;2;0;3;26
01062;Bressolles;266;2;4;3;11;24;63;79;13;46;15;65;1;2;3;18
01063;Brion;176;1;1;5;5;12;16;41;5;42;8;48;2;0;1;1
01064;Briord;411;3;3;22;15;11;31;44;3;15;22;122;2;8;1;13
01065;Buellas;664;0;11;22;16;37;97;168;25;63;32;145;7;2;1;34
01066;La Burbanche;25;1;1;8;0;1;5;5;0;6;1;10;4;0;1;7
01067;Ceignes;97;0;2;4;4;7;16;24;4;9;7;20;1;0;1;5
01068;Cerdon;225;1;1;15;2;7;27;29;9;35;12;84;3;6;0;12
01069;Certines;519;3;16;24;17;41;71;110;15;36;26;153;2;9;1;21
01071;Cessy;1453;1;13;37;35;69;225;331;49;149;38;190;11;12;7;56
01072;Ceyzériat;1079;7;27;53;35;96;170;295;44;124;44;211;8;7;3;42
01073;Ceyzérieu;375;2;21;24;18;33;71;99;9;31;17;123;3;4;3;23
01074;Chalamont;851;5;5;23;22;25;65;141;18;80;50;208;5;10;2;32
01075;Chaleins;421;3;3;16;19;14;51;95;8;53;26;106;2;5;3;20
01076;Chaley;45;2;2;1;3;3;14;5;2;6;7;23;0;0;0;1
01077;Challes-la-Montagne;59;0;4;5;1;2;11;13;2;13;4;27;1;0;0;4
01078;Challex;452;0;2;17;8;15;96;100;6;23;18;51;0;1;2;21
01079;Champagne-en-Valromey;266;3;6;18;11;17;52;53;7;27;28;44;2;2;2;6
01080;Champdor-Corcelles;245;6;9;17;15;22;41;55;5;15;10;53;1;5;0;8
01081;Champfromier;233;0;4;20;11;18;54;40;7;35;4;57;0;3;0;14
01082;Chanay;156;2;3;16;8;10;29;37;5;10;10;51;1;4;2;12
01083;Chaneins;345;3;7;11;4;10;52;53;5;29;21;125;7;3;2;10
01084;Chanoz-Châtenay;307;2;0;6;9;15;32;66;11;29;19;96;5;4;0;13
01085;La Chapelle-du-Châtelard;126;0;1;1;5;3;18;20;0;28;11;63;3;1;1;11
01087;Charix;76;1;4;6;3;9;15;23;5;23;6;22;1;0;1;2
01088;Charnoz-sur-Ain;324;1;6;12;6;19;43;84;9;32;22;131;2;3;3;15
01089;Château-Gaillard;742;5;15;30;14;31;78;131;13;52;37;226;4;4;4;36
01090;Châtenay;105;1;5;4;8;4;22;26;7;14;6;32;1;3;1;6
01092;Châtillon-la-Palud;573;4;9;41;21;29;79;126;20;59;26;174;3;1;1;30
01093;Châtillon-sur-Chalaronne;1778;9;21;55;26;83;163;393;51;196;113;416;14;20;9;77
01094;Chavannes-sur-Reyssouze;305;0;9;8;3;13;27;31;8;17;19;67;3;4;0;14
01095;Nivigne et Suran;219;3;6;12;5;15;51;54;5;19;7;91;3;2;3;14
01096;Chaveyriat;389;1;4;18;16;7;51;75;7;24;8;113;1;2;0;16
01098;Chazey-Bons;361;1;5;24;6;17;39;85;8;29;26;102;10;7;3;21
01099;Chazey-sur-Ain;548;1;7;24;17;31;87;138;19;39;24;157;5;7;6;26
01100;Cheignieu-la-Balme;37;1;3;11;3;4;5;18;2;5;1;27;1;1;0;6
01101;Chevillard;61;2;4;2;4;5;7;14;2;8;6;22;1;1;2;3
01102;Chevroux;378;0;7;20;2;9;19;51;14;21;10;89;7;3;3;14
01103;Chevry;456;2;0;9;14;29;84;111;15;46;15;73;2;3;0;9
01104;Chézery-Forens;163;0;1;8;6;8;23;24;9;15;4;46;0;3;0;10
01105;Civrieux;611;4;5;21;6;30;93;155;19;72;20;118;11;6;3;27
01106;Cize;61;0;5;4;2;0;22;4;0;5;7;25;0;1;1;6
01107;Cleyzieu;34;1;0;2;4;5;11;5;3;17;6;21;0;0;0;1
01108;Coligny;412;4;5;25;14;13;58;72;10;46;22;118;5;8;2;15
01109;Collonges;765;8;8;31;13;24;79;80;20;39;22;80;7;2;4;24
01110;Colomieu;56;1;3;13;3;3;2;16;0;3;0;18;0;0;2;0
01111;Conand;40;1;0;5;1;3;12;15;1;1;3;13;0;0;0;4
01112;Condamine;116;1;2;7;2;2;20;31;4;15;11;29;2;2;1;11
01113;Condeissiat;276;2;3;12;15;18;46;63;7;26;20;54;3;8;2;9
01114;Confort;163;1;10;7;6;9;44;28;5;16;16;52;4;3;3;7
01115;Confrançon;452;1;5;22;10;16;53;74;16;35;24;123;2;2;1;21
01116;Contrevoz;198;2;4;19;4;6;31;37;2;22;8;78;0;4;0;8
01117;Conzieu;51;0;3;3;1;1;4;15;1;6;6;15;1;0;0;1
01118;Corbonod;416;4;3;21;10;12;40;68;6;51;12;96;4;4;0;19
01121;Corlier;27;0;0;4;0;1;8;13;3;3;1;20;0;1;0;3
01123;Cormoranche-sur-Saône;369;2;4;16;8;22;57;108;7;48;15;108;1;3;6;14
01124;Cormoz;252;1;4;8;8;8;15;48;8;30;8;69;0;6;1;12
01125;Corveissiat;183;1;4;15;10;23;32;24;8;18;12;70;6;2;5;15
01127;Courmangoux;170;4;4;15;3;7;34;28;5;33;11;31;0;5;2;16
01128;Courtes;104;1;0;5;3;4;16;20;3;11;2;21;1;2;0;5
01129;Crans;77;0;1;14;2;1;11;25;3;12;7;37;1;2;0;3
01130;Bresse Vallons;826;8;6;18;26;57;91;131;14;92;45;184;2;11;8;17
01133;Cressin-Rochefort;151;1;3;10;6;5;24;34;2;15;5;61;2;0;3;4
01134;Crottet;621;5;11;26;16;29;63;139;12;48;34;181;5;5;3;26
01135;Crozet;613;1;9;20;13;29;101;154;17;48;14;85;3;14;1;40
01136;Cruzilles-lès-Mépillat;311;1;9;5;6;14;23;68;5;20;15;87;2;8;0;18
01138;Culoz;1084;9;20;46;21;42;77;129;19;47;30;255;12;13;6;24
01139;Curciat-Dongalon;129;2;0;9;6;2;8;40;3;27;7;57;5;3;1;3
01140;Curtafond;197;2;2;14;9;15;31;68;10;28;16;95;2;1;0;5
01141;Cuzieu;168;0;2;14;6;9;25;49;5;20;14;35;2;0;0;8
01142;Dagneux;1617;15;26;80;42;68;234;295;45;136;83;418;13;25;9;80
01143;Divonne-les-Bains;3303;2;11;67;45;107;460;1072;82;375;47;310;15;43;2;129
01145;Dompierre-sur-Veyle;358;4;9;15;16;16;45;87;5;40;15;119;7;6;1;12
01146;Dompierre-sur-Chalaronne;148;1;4;3;3;4;18;29;3;18;4;29;2;0;0;5
01147;Domsure;153;0;5;10;0;10;8;37;1;26;16;68;1;2;1;10
01148;Dortan;713;5;7;28;9;22;59;95;9;58;23;171;6;10;0;37
01149;Douvres;290;3;17;17;6;18;70;109;19;36;26;123;4;5;2;26
01150;Drom;58;1;3;10;2;13;21;17;5;6;5;12;0;1;0;4
01151;Druillat;372;5;4;17;13;24;54;77;15;50;30;125;7;1;0;21
01152;Echallon;286;2;9;11;5;16;52;53;17;22;28;65;0;1;1;14
01153;Echenevex;603;2;4;12;12;23;143;195;22;71;20;72;2;7;4;49
01155;Evosges;39;1;2;4;3;4;7;7;1;9;4;33;0;2;0;5
01156;Faramans;266;1;8;20;8;8;21;43;10;49;14;114;2;6;2;10
01157;Fareins;771;7;16;38;16;30;150;257;24;84;30;221;3;9;4;32
01158;Farges;272;3;4;11;10;20;61;50;3;16;9;49;1;1;0;19
01159;Feillens;1360;5;8;34;19;41;132;306;42;182;67;251;13;5;1;32
01160;Ferney-Voltaire;1866;6;16;75;62;88;322;545;51;142;25;196;4;29;11;123
01162;Flaxieu;11;0;1;1;3;3;5;16;0;15;0;13;0;0;0;2
01163;Foissiat;865;3;7;19;12;24;56;162;17;74;28;163;10;6;4;18
01165;Francheleins;484;2;2;14;7;21;73;115;15;51;30;168;5;4;2;22
01166;Frans;771;9;11;38;14;29;122;217;28;114;37;197;5;6;5;37
01167;Garnerans;252;1;1;12;9;12;32;57;8;30;15;80;0;2;3;17
01169;Genouilleux;190;0;1;5;5;9;32;52;6;27;11;66;1;6;1;5
01170;Beard-Géovreissiat;366;5;3;17;1;7;32;52;3;28;19;106;2;5;0;23
01171;Géovreisset;325;1;2;10;9;6;34;73;6;38;10;78;4;3;0;16
01173;Gex;3714;11;21;136;70;163;576;741;93;261;70;395;23;42;13;136
01174;Giron;50;0;0;3;4;3;15;19;7;11;1;9;1;1;1;5
01175;Gorrevod;335;1;21;8;5;9;31;54;10;44;15;51;2;2;2;10
01177;Grand-Corent;49;0;0;16;1;4;23;15;1;9;8;11;2;0;1;4
01179;Grièges;713;3;8;36;25;27;66;157;25;71;27;177;3;6;6;34
01180;Grilly;270;0;2;5;1;5;65;110;7;26;11;22;0;3;0;10
01181;Groissiat;480;0;1;15;9;13;39;78;11;62;20;84;3;2;3;21
01183;Guéreins;559;6;4;14;16;22;44;109;21;44;22;157;4;5;1;25
01184;Hautecourt-Romanèche;276;2;8;19;5;21;47;63;11;34;12;55;4;4;1;9
01185;Plateau d'Hauteville;1494;10;56;95;48;86;216;272;35;181;65;366;11;20;11;59
01187;Haut Valromey;264;1;9;20;8;19;51;79;10;47;18;58;2;7;2;6
01188;Illiat;246;3;3;2;8;9;21;40;6;30;13;64;0;0;2;11
01189;Injoux-Génissiat;284;4;14;20;16;28;67;49;3;17;13;105;2;5;2;18
01190;Innimond;36;0;3;3;3;10;7;13;0;3;1;16;0;0;0;2
01191;Izenave;63;1;0;1;4;3;10;12;1;6;9;20;0;4;0;3
01192;Izernore;804;3;8;32;14;18;64;100;25;101;38;197;3;3;2;36
01193;Izieu;54;0;2;11;4;9;20;20;0;14;8;20;4;0;2;1
01194;Jassans-Riottier;2165;12;34;118;48;101;291;473;66;201;76;521;21;25;14;81
01195;Jasseron;538;2;2;21;19;46;126;150;25;70;27;133;3;9;1;40
01196;Jayat;431;0;3;9;10;11;42;78;9;36;15;112;5;2;3;15
01197;Journans;107;1;10;12;6;17;28;27;2;13;5;14;1;1;2;6
01198;Joyeux;80;0;1;3;3;1;14;21;6;14;7;21;2;0;0;4
01199;Jujurieux;784;3;17;41;21;39;125;114;13;60;26;197;9;7;4;36
01200;Labalme;69;0;2;6;1;6;14;6;0;3;2;11;1;3;0;7
01202;Lagnieu;2468;26;52;140;53;101;257;462;64;273;116;691;26;31;19;114
01203;Laiz;496;5;9;13;12;13;51;97;16;34;23;110;0;3;1;18
01204;Le Poizat-Lalleyriat;226;0;4;9;6;16;48;67;6;29;18;54;2;2;3;12
01206;Lantenay;83;3;1;5;3;0;18;26;1;12;5;37;1;2;0;5
01207;Lapeyrouse;97;0;0;11;3;2;12;26;3;32;5;50;0;0;0;3
01208;Lavours;32;1;3;4;8;4;11;12;0;4;3;30;0;0;0;1
01209;Léaz;198;1;4;9;11;12;31;41;4;16;11;43;0;6;0;17
01210;Lélex;78;0;0;3;4;8;15;27;5;18;2;15;0;1;0;4
01211;Lent;496;1;2;26;8;33;74;116;26;44;18;110;3;3;3;31
01212;Lescheroux;279;2;13;9;5;11;16;42;4;25;8;108;3;2;2;5
01213;Leyment;425;4;7;29;17;29;63;74;13;31;22;167;3;6;1;27
01214;Leyssard;46;0;0;8;2;6;13;10;1;4;1;19;0;0;1;1
01215;Surjoux-Lhopital;37;0;2;7;0;2;9;13;0;0;7;22;0;0;0;7
01216;Lhuis;267;0;5;15;4;13;39;70;3;40;17;76;2;9;1;23
01219;Lompnas;51;1;1;3;0;3;3;9;1;21;2;15;0;2;2;2
01224;Loyettes;1207;7;15;29;17;46;73;146;18;62;55;262;13;11;6;37
01225;Lurcy;133;0;4;9;6;8;31;46;2;29;12;61;1;4;0;9
01227;Magnieu;200;0;3;8;12;16;37;44;6;23;7;95;3;1;5;12
01228;Maillat;225;0;1;3;2;3;18;52;6;43;22;71;0;0;3;15
01229;Malafretaz;457;0;3;22;10;18;38;99;8;45;19;109;0;8;0;17
01230;Mantenay-Montlin;120;0;1;6;2;3;3;23;5;14;4;45;0;0;0;8
01231;Manziat;774;4;9;23;14;26;70;186;23;78;49;180;4;6;1;23
01232;Marboz;862;3;15;33;19;29;102;164;19;105;28;197;3;4;4;24
01233;Marchamp;57;0;1;2;2;4;4;12;1;16;0;12;1;0;2;3
01234;Marignieu;45;1;2;6;2;3;11;9;1;12;2;39;1;1;0;3
01235;Marlieux;335;1;6;15;6;17;31;67;6;45;15;91;4;3;0;17
01236;Marsonnas;368;2;2;12;17;25;34;69;11;39;15;80;1;2;1;12
01237;Martignat;601;6;4;27;9;14;47;93;6;45;29;173;3;4;0;21
01238;Massieux;921;8;12;51;39;57;154;205;47;100;41;244;5;7;6;38
01239;Massignieu-de-Rives;220;2;1;10;5;10;40;53;11;23;8;70;0;5;0;19
01240;Matafelon-Granges;197;2;7;15;5;16;29;37;10;25;15;86;1;2;3;14
01241;Meillonnas;415;1;15;35;24;45;85;114;18;61;19;81;3;6;1;13
01242;Mérignat;35;0;1;6;1;4;29;10;0;6;1;7;0;1;0;1
01243;Messimy-sur-Saône;375;6;8;15;5;26;88;115;13;51;13;107;9;3;1;32
01244;Meximieux;2551;10;48;114;54;143;346;542;81;236;104;534;13;27;19;131
01245;Bohas-Meyriat-Rignat;322;0;8;16;8;27;54;67;10;28;18;89;5;11;1;15
01246;Mézériat;856;6;5;30;13;24;51;149;45;76;22;157;3;11;2;30
01247;Mijoux;92;0;4;5;1;1;35;33;0;22;2;18;0;5;0;7
01248;Mionnay;845;5;8;51;15;51;107;233;32;83;44;226;6;6;2;35
01249;Miribel;3469;15;33;156;77;174;533;744;107;350;142;663;25;28;12;178
01250;Misérieux;558;5;15;36;21;34;116;150;24;54;31;131;8;3;3;34
01252;Mogneneins;273;2;2;5;5;13;43;80;13;36;7;62;2;11;1;24
01254;Montagnat;788;3;8;17;13;52;114;247;21;106;24;151;2;4;1;48
01255;Montagnieu;214;1;0;7;5;10;19;47;3;13;13;45;2;0;0;12
01257;Montanges;136;0;2;10;6;5;25;17;6;11;9;47;0;1;3;3
01258;Montceaux;461;5;3;14;4;7;50;107;14;43;24;141;4;3;1;14
01259;Montcet;213;3;1;9;7;11;39;37;3;22;12;56;1;1;2;9
01260;Le Montellier;76;3;0;6;1;0;13;41;5;18;3;24;4;0;1;2
01261;Monthieux;256;2;3;5;0;10;53;70;12;38;15;47;1;5;1;15
01262;Montluel;2359;15;34;108;56;120;260;415;37;192;72;441;13;28;8;97
01263;Montmerle-sur-Saône;1378;7;11;44;23;65;189;363;35;152;69;328;7;5;8;77
01264;Montracol;337;2;8;13;17;5;36;55;6;60;23;116;3;1;2;21
01265;Montréal-la-Cluse;1152;11;11;36;33;32;93;163;21;121;40;215;7;16;3;43
01266;Montrevel-en-Bresse;917;5;23;42;26;59;105;167;28;109;48;224;6;8;1;17
01267;Nurieux-Volognat;341;3;1;19;10;10;36;67;7;49;22;117;2;6;1;8
01268;Murs-et-Gélignieux;102;0;0;3;0;3;9;26;1;15;8;35;0;1;0;3
01269;Nantua;855;7;11;37;15;35;59;155;10;84;14;187;7;9;4;41
01272;Neuville-les-Dames;452;2;5;29;8;23;63;89;16;66;21;145;2;5;1;22
01273;Neuville-sur-Ain;562;5;15;40;11;29;76;92;16;54;19;202;8;10;3;35
01274;Les Neyrolles;190;1;2;9;6;6;13;16;1;13;9;50;2;4;2;7
01275;Neyron;865;3;6;27;12;37;158;238;21;116;34;180;0;19;1;51
01276;Niévroz;627;2;7;23;18;31;80;115;11;62;30;151;6;2;1;24
01277;Nivollet-Montgriffon;54;0;0;3;1;3;7;7;1;3;3;21;0;0;0;5
01279;Oncieu;36;0;0;2;1;3;8;9;1;10;1;10;0;0;0;3
01280;Ordonnaz;61;0;0;1;1;1;5;17;0;18;2;14;0;0;1;3
01281;Ornex;933;2;11;29;25;38;182;285;44;87;28;90;4;8;3;53
01282;Outriaz;81;1;3;1;1;8;12;21;4;19;3;20;1;1;0;7
01283;Oyonnax;7281;27;78;287;104;165;408;806;99;518;161;1035;37;75;21;261
01284;Ozan;250;3;6;7;7;14;25;39;2;29;18;66;8;1;1;12
01285;Parcieux;399;2;5;22;15;25;68;152;20;53;13;80;3;6;3;20
01286;Parves et Nattages;291;4;33;23;24;31;78;98;7;34;9;88;3;5;4;21
01288;Péron;752;3;5;26;16;40;115;160;22;61;25;98;6;5;2;48
01289;Péronnas;2242;10;49;105;78;162;306;535;71;261;103;448;22;15;5;85
01290;Pérouges;465;0;2;26;13;19;63;116;17;63;28;121;4;1;2;31
01291;Perrex;241;3;2;6;6;19;37;87;9;46;16;95;3;3;3;16
01293;Peyriat;48;0;0;4;2;4;16;13;0;4;7;17;2;0;0;4
01294;Peyrieu;291;2;10;16;0;13;33;46;9;21;23;79;0;3;0;16
01295;Peyzieux-sur-Saône;207;0;2;13;2;9;17;33;5;14;11;73;1;6;3;14
01296;Pirajoux;151;0;2;7;1;1;13;17;2;12;2;51;0;3;1;4
01297;Pizay;327;2;4;19;10;23;38;75;10;26;11;86;3;0;2;14
01298;Plagne;55;1;1;6;0;3;7;7;1;5;1;17;0;0;0;4
01299;Le Plantay;154;1;5;8;2;4;14;44;8;53;5;87;2;2;0;4
01301;Polliat;906;8;7;48;33;50;120;228;33;153;47;250;9;13;2;35
01302;Pollieu;61;0;1;13;2;2;14;20;1;10;2;23;1;2;0;2
01303;Poncin;537;4;9;25;19;30;60;102;11;92;25;184;1;10;5;24
01304;Pont-d'Ain;989;4;12;44;23;45;117;130;26;71;33;250;4;6;7;33
01305;Pont-de-Vaux;803;1;12;46;23;34;55;152;19;72;29;149;7;9;4;20
01306;Pont-de-Veyle;467;2;1;47;9;15;53;93;7;42;17;122;5;0;1;16
01307;Port;275;5;10;12;11;14;32;57;5;28;15;72;3;8;1;7
01308;Pougny;245;1;10;20;4;13;37;36;4;10;6;34;0;3;2;18
01309;Pouillat;32;0;0;1;0;1;6;6;4;0;3;14;2;0;1;1
01310;Prémeyzel;50;1;0;13;3;1;8;13;1;2;3;22;0;0;0;1
01311;Prémillieu;13;1;0;1;1;0;3;7;2;3;0;13;0;2;0;1
01313;Prévessin-Moëns;2043;7;16;68;35;107;390;664;56;205;40;181;6;22;4;99
01314;Priay;532;5;10;22;14;22;71;100;14;57;28;220;2;5;5;35
01317;Ramasse;90;3;2;3;2;8;18;21;1;13;4;38;1;6;0;10
01318;Rancé;227;1;9;6;8;16;33;49;11;37;18;65;1;1;0;6
01319;Relevant;147;1;3;4;5;11;12;42;2;15;8;66;1;2;1;9
01320;Replonges;1364;6;11;58;31;59;106;343;45;156;63;356;6;8;2;49
01321;Revonnas;270;1;13;24;12;19;62;99;6;34;7;73;5;1;1;19
01322;Reyrieux;1579;3;17;81;34;81;322;498;58;215;65;336;8;15;5;84
01323;Reyssouze;353;1;4;13;9;14;36;67;9;32;17;113;3;3;2;14
01325;Rignieux-le-Franc;265;0;11;15;15;16;51;93;5;41;21;134;3;4;1;21
01328;Romans;160;2;4;5;1;6;24;47;3;22;15;57;2;5;1;8
01329;Rossillon;58;0;3;5;1;5;14;20;1;4;2;19;2;0;0;5
01330;Ruffieu;54;0;1;6;7;6;19;22;1;4;3;13;1;2;1;10
01331;Saint-Alban;70;0;2;5;2;8;8;18;6;6;1;14;1;2;0;8
01332;Saint-André-de-Bâgé;283;0;4;6;4;16;38;66;5;19;20;74;3;8;1;14
01333;Saint-André-de-Corcy;1270;9;19;93;29;55;176;228;36;100;67;353;10;16;6;49
01334;Saint-André-d'Huiriat;224;1;2;14;7;5;28;27;2;9;13;72;2;1;1;11
01335;Saint-André-le-Bouchoux;116;2;1;2;4;6;24;14;4;14;10;39;3;0;2;4
01336;Saint-André-sur-Vieux-Jonc;404;1;5;23;11;25;42;94;23;36;23;114;2;7;2;25
01337;Saint-Bénigne;474;5;10;21;9;22;43;105;8;42;19;110;2;8;1;15
01338;Groslée-Saint-Benoît;443;0;7;24;7;17;57;112;10;42;36;122;3;15;1;13
01339;Saint-Bernard;526;3;4;14;16;24;99;221;25;96;20;113;1;5;1;32
01342;Sainte-Croix;123;3;5;14;2;9;33;50;10;40;10;58;4;8;1;20
01343;Saint-Cyr-sur-Menthon;705;1;8;30;11;34;61;89;14;56;37;162;9;11;3;35
01344;Saint-Denis-lès-Bourg;2117;14;42;98;66;168;380;659;68;240;87;429;10;19;8;75
01345;Saint-Denis-en-Bugey;852;13;27;45;27;43;72;117;18;79;20;241;7;10;8;39
01346;Saint-Didier-d'Aussiat;259;0;1;13;6;15;41;49;7;56;20;80;4;5;1;12
01347;Saint-Didier-de-Formans;700;1;13;28;23;53;129;196;26;86;19;182;4;6;1;42
01348;Saint-Didier-sur-Chalaronne;1137;6;15;20;17;37;92;215;36;103;47;304;10;5;7;39
01349;Saint-Eloi;200;1;2;5;3;7;34;40;1;35;8;47;2;1;0;11
01350;Saint-Etienne-du-Bois;836;6;21;41;29;46;135;210;38;145;34;202;9;8;4;26
01351;Saint-Etienne-sur-Chalaronne;608;2;2;21;7;24;49;72;13;56;20;162;5;2;5;33
01352;Saint-Etienne-sur-Reyssouze;185;2;2;2;4;13;8;40;4;16;15;61;5;1;0;8
01353;Sainte-Euphémie;527;2;8;30;19;25;91;160;17;52;27;108;1;14;1;32
01354;Saint-Genis-Pouilly;2767;10;32;102;55;129;382;589;49;193;36;277;16;19;7;113
01355;Saint-Genis-sur-Menthon;197;0;5;8;8;9;12;31;4;15;16;40;0;0;3;3
01356;Saint-Georges-sur-Renon;66;0;1;4;1;3;14;14;2;4;10;16;1;0;0;11
01357;Saint-Germain-de-Joux;136;2;0;5;0;6;19;28;4;19;0;35;0;0;0;5
01358;Saint-Germain-les-Paroisses;125;0;0;11;6;12;23;37;3;39;6;43;0;6;0;11
01359;Saint-Germain-sur-Renon;107;1;1;0;1;3;7;23;2;16;12;30;0;0;0;6
01360;Saint-Jean-de-Gonville;508;1;4;19;8;26;95;146;13;44;18;74;0;6;2;25
01361;Saint-Jean-de-Niost;543;3;13;23;10;22;88;137;12;82;29;175;4;10;4;30
01362;Saint-Jean-de-Thurigneux;262;1;2;5;6;13;41;73;9;21;12;80;1;8;2;14
01363;Saint-Jean-le-Vieux;609;2;13;42;20;50;89;127;25;57;17;158;9;6;3;28
01364;Saint-Jean-sur-Reyssouze;296;1;3;12;11;21;26;28;8;25;4;69;4;5;1;9
01365;Saint-Jean-sur-Veyle;450;7;5;17;14;19;52;77;9;27;17;83;3;5;4;26
01366;Sainte-Julie;250;5;4;14;16;10;55;58;5;29;20;126;1;6;1;18
01367;Saint-Julien-sur-Reyssouze;181;0;13;7;11;10;17;26;8;36;9;57;3;2;1;8
01368;Saint-Julien-sur-Veyle;264;6;4;6;7;16;32;52;9;33;10;77;3;6;0;16
01369;Saint-Just;327;1;9;17;13;26;68;100;8;33;24;55;3;1;2;31
01370;Saint-Laurent-sur-Saône;503;5;11;22;18;41;62;76;9;21;8;97;2;4;4;14
01371;Saint-Marcel;498;3;10;33;21;18;49;70;11;32;22;107;4;8;3;26
01372;Saint-Martin-de-Bavel;156;2;3;12;5;17;30;36;2;7;4;35;1;1;2;3
01373;Saint-Martin-du-Frêne;341;2;1;15;2;9;37;77;15;48;17;100;2;4;0;16
