CODGEO;LIBGEO;Abstention;LO;PCF;LFI;Génération.s;PS - Place Publique;EELV;Renaissance;UDI;LR;Debout la France;RN;Patriotes, Jaunes, Citoyens;UPR;Alliance Jaune;Divers
59421;Mouvaux;4580;18;35;167;80;218;707;2154;201;878;188;768;24;43;13;235
59422;Naves;231;2;7;12;7;16;21;42;1;19;13;105;0;0;1;15
59423;Neuf-Berquin;395;7;11;32;17;19;42;93;20;17;32;184;4;9;8;31
59424;Neuf-Mesnil;421;4;13;37;14;15;24;47;4;12;5;228;6;1;4;25
59425;Neuville-en-Avesnois;95;0;6;14;0;6;33;27;4;13;3;22;1;2;0;3
59426;Neuville-en-Ferrain;4319;20;40;168;94;208;524;891;142;345;151;1038;33;39;20;202
59427;La Neuville;200;1;0;8;7;17;37;101;11;29;18;75;0;3;0;18
59428;Neuville-Saint-Rémy;1289;15;27;115;21;62;89;218;29;86;55;507;20;11;8;68
59429;Neuville-sur-Escaut;771;6;162;80;24;28;41;76;9;21;18;454;7;10;3;69
59430;Neuvilly;326;3;9;21;13;6;13;47;14;31;8;222;4;1;0;16
59431;Nieppe;2884;23;49;214;69;137;417;617;94;253;88;870;22;27;22;246
59432;Niergnies;179;5;5;12;5;13;20;44;3;35;18;65;4;4;1;16
59433;Nieurlet;321;4;5;31;5;20;30;47;11;20;10;178;4;3;4;14
59434;Nivelle;465;3;27;17;11;23;71;95;29;35;28;141;2;4;4;27
59435;Nomain;905;6;19;29;22;51;175;304;60;97;36;262;2;7;5;47
59436;Noordpeene;269;1;2;32;7;9;38;62;14;20;18;110;2;2;0;15
59437;Noyelles-lès-Seclin;247;4;6;19;4;27;62;118;8;45;20;83;3;10;0;23
59438;Noyelles-sur-Escaut;195;2;7;25;4;15;36;61;7;23;17;138;2;1;1;12
59439;Noyelles-sur-Sambre;91;1;4;8;4;5;12;33;3;16;6;38;0;2;0;7
59440;Noyelles-sur-Selle;206;0;10;17;6;14;28;34;1;21;14;132;3;1;0;8
59441;Obies;228;3;4;13;5;12;27;64;9;19;18;95;5;3;1;22
