Labels;Couleurs
Abstention;#000000
LO;#9d0d16
PCF;#f1001c
LFI;#ff3333
Générations.s;#ff05b3
PS - Place Publique;#ff6d90
EELV;#23b73d
Renaissance;#ff9f0e
UDI;#0890c5
LR;#0890c5
Debout la France;#2443a7
RN;#8d6026
Patriotes, Jaunes, Citoyens;#654519
UPR;#cccccc
Alliance Jaune;#f2ff05
Divers;#617b75
