PCS;Abstention;Extrême-Gauche;NFP;Divers Gauche;Ensemble;Divers Centre;LR;RN;Reconquête;Divers
1;0;0;0;0;0;0;0;0;0;0
2;5;6;3;10;5;0;6;5;6;8
3;8;25;12;10;12;13;11;8;18;7
4;14;5;20;9;12;11;12;13;21;15
5;18;19;14;0;9;15;15;19;8;17
6;16;9;10;10;6;8;10;18;0;13
7;22;26;24;47;45;35;36;27;36;30
