CODGEO;LIBGEO;Abstention;Extrême-Gauche;NFP;Divers Gauche;Ensemble;Divers Centre;LR;RN;Reconquête;Divers
24351;Ribagnac;88;0.0;38.0;0.0;26.0;0.0;27.0;93.0;0.0;0.0
24352;Ribérac;886;41.0;540.0;0.0;377.0;0.0;94.0;730.0;0.0;0.0
24353;La Rochebeaucourt-et-Argentine;47;3.0;57.0;0.0;39.0;0.0;9.0;72.0;0.0;0.0
24354;La Roche-Chalais;752;21.0;221.0;0.0;268.0;0.0;92.0;763.0;0.0;0.0
24355;La Roque-Gageac;82;1.0;90.0;0.0;0.0;160.0;14.0;62.0;3.0;0.0
24356;Rouffignac-Saint-Cernin-de-Reilhac;371;14.0;310.0;0.0;28.0;121.0;77.0;369.0;16.0;0.0
24357;Rouffignac-de-Sigoulès;84;2.0;39.0;0.0;31.0;0.0;8.0;110.0;0.0;0.0
24359;Sadillac;14;0.0;17.0;0.0;14.0;0.0;8.0;26.0;0.0;0.0
24360;Sagelat;66;2.0;83.0;0.0;0.0;32.0;12.0;56.0;1.0;0.0
24361;Saint-Agne;75;1.0;67.0;0.0;67.0;0.0;13.0;120.0;0.0;0.0
24362;Val de Louyre et Caudeau;289;7.0;244.0;0.0;34.0;156.0;75.0;312.0;13.0;0.0
24364;Coly-Saint-Amand;118;3.0;169.0;0.0;16.0;52.0;22.0;123.0;6.0;0.0
24365;Saint-Amand-de-Vergt;38;2.0;43.0;0.0;0.0;39.0;9.0;64.0;8.0;0.0
24366;Saint-André-d'Allas;154;6.0;156.0;0.0;13.0;77.0;46.0;179.0;1.0;0.0
24367;Saint-André-de-Double;33;0.0;37.0;0.0;15.0;0.0;0.0;45.0;4.0;0.0
24370;Saint-Antoine-de-Breuilh;481;12.0;203.0;0.0;149.0;0.0;67.0;488.0;0.0;0.0
24371;Saint-Aquilin;107;1.0;86.0;0.0;50.0;0.0;12.0;109.0;2.0;0.0
24372;Saint-Astier;1371;34.0;812.0;0.0;577.0;0.0;192.0;1128.0;32.0;9.0
24373;Saint-Aubin-de-Cadelech;57;2.0;42.0;0.0;34.0;0.0;13.0;93.0;0.0;0.0
24374;Saint-Aubin-de-Lanquais;58;5.0;43.0;0.0;17.0;0.0;12.0;113.0;0.0;0.0
24375;Saint-Aubin-de-Nabirat;22;0.0;30.0;0.0;0.0;26.0;3.0;21.0;1.0;0.0
24376;Saint Aulaye-Puymangou;321;17.0;207.0;0.0;160.0;0.0;37.0;334.0;0.0;0.0
24377;Saint-Avit-de-Vialard;30;1.0;37.0;0.0;0.0;20.0;6.0;30.0;0.0;0.0
24378;Saint-Avit-Rivière;21;0.0;11.0;0.0;6.0;0.0;9.0;33.0;0.0;0.0
24379;Saint-Avit-Sénieur;91;4.0;86.0;0.0;38.0;0.0;19.0;81.0;0.0;0.0
24380;Saint-Barthélemy-de-Bellegarde;110;3.0;65.0;0.0;54.0;0.0;11.0;133.0;7.0;1.0
24381;Saint-Barthélemy-de-Bussière;36;1.0;54.0;0.0;29.0;0.0;18.0;49.0;0.0;0.0
24382;Saint-Capraise-de-Lalinde;126;6.0;95.0;0.0;42.0;0.0;20.0;120.0;0.0;0.0
24383;Saint-Capraise-d'Eymet;25;0.0;21.0;0.0;16.0;0.0;8.0;51.0;0.0;0.0
24384;Saint-Cassien;4;1.0;7.0;0.0;5.0;0.0;1.0;10.0;0.0;0.0
24385;Saint-Cernin-de-Labarde;51;0.0;23.0;0.0;24.0;0.0;11.0;67.0;0.0;0.0
24386;Saint-Cernin-de-l'Herm;49;2.0;46.0;0.0;0.0;22.0;16.0;44.0;0.0;0.0
24388;Saint-Chamassy;96;6.0;112.0;0.0;0.0;67.0;19.0;80.0;11.0;0.0
24390;Saint-Crépin-d'Auberoche;69;1.0;51.0;0.0;0.0;25.0;14.0;87.0;4.0;0.0
24392;Saint-Crépin-et-Carlucet;112;1.0;76.0;0.0;18.0;78.0;19.0;101.0;3.0;0.0
24393;Sainte-Croix;20;1.0;15.0;0.0;11.0;0.0;5.0;24.0;0.0;0.0
24394;Sainte-Croix-de-Mareuil;31;3.0;18.0;0.0;27.0;0.0;6.0;40.0;0.0;0.0
24395;Saint-Cybranet;110;4.0;76.0;0.0;0.0;54.0;11.0;75.0;1.0;0.0
24396;Saint-Cyprien;362;11.0;274.0;0.0;24.0;164.0;54.0;261.0;8.0;0.0
24397;Saint-Cyr-les-Champagnes;46;2.0;35.0;0.0;50.0;0.0;21.0;60.0;0.0;0.0
24398;Saint-Estèphe;100;5.0;88.0;0.0;79.0;0.0;16.0;139.0;0.0;0.0
24399;Saint-Etienne-de-Puycorbier;29;1.0;15.0;0.0;17.0;0.0;3.0;36.0;0.0;1.0
24401;Sainte-Eulalie-d'Ans;58;1.0;60.0;0.0;0.0;30.0;20.0;57.0;3.0;0.0
24403;Saint-Félix-de-Bourdeilles;9;1.0;9.0;0.0;6.0;0.0;9.0;21.0;0.0;0.0
24404;Saint-Félix-de-Reillac-et-Mortemart;42;1.0;31.0;0.0;0.0;16.0;17.0;56.0;1.0;0.0
24405;Saint-Félix-de-Villadeix;65;3.0;66.0;0.0;43.0;0.0;10.0;72.0;0.0;0.0
24406;Sainte-Foy-de-Belvès;28;0.0;17.0;0.0;0.0;7.0;9.0;9.0;0.0;0.0
24407;Sainte-Foy-de-Longas;43;4.0;43.0;0.0;0.0;19.0;14.0;52.0;2.0;0.0
24408;Saint-Front-d'Alemps;62;2.0;61.0;0.0;25.0;0.0;9.0;58.0;0.0;0.0
24409;Saint-Front-de-Pradoux;265;9.0;186.0;0.0;137.0;0.0;31.0;309.0;8.0;4.0
24410;Saint-Front-la-Rivière;90;6.0;90.0;0.0;70.0;0.0;25.0;118.0;0.0;0.0
24411;Saint-Front-sur-Nizonne;27;1.0;30.0;0.0;22.0;0.0;11.0;42.0;0.0;0.0
24412;Saint-Geniès;170;6.0;213.0;0.0;20.0;90.0;47.0;202.0;4.0;0.0
24413;Saint-Georges-Blancaneix;55;5.0;42.0;0.0;24.0;0.0;14.0;75.0;0.0;0.0
24414;Saint-Georges-de-Montclard;61;3.0;51.0;0.0;32.0;0.0;9.0;64.0;0.0;0.0
24415;Saint-Géraud-de-Corps;33;0.0;22.0;0.0;19.0;0.0;12.0;77.0;0.0;0.0
24416;Saint-Germain-de-Belvès;27;3.0;53.0;0.0;0.0;28.0;8.0;39.0;0.0;0.0
24417;Saint-Germain-des-Prés;105;5.0;96.0;0.0;73.0;0.0;27.0;104.0;0.0;0.0
24418;Saint-Germain-du-Salembre;170;6.0;178.0;0.0;92.0;0.0;24.0;218.0;3.0;5.0
24419;Saint-Germain-et-Mons;229;3.0;104.0;0.0;98.0;0.0;42.0;283.0;0.0;0.0
24420;Saint-Géry;46;2.0;37.0;0.0;18.0;0.0;9.0;55.0;0.0;0.0
24421;Saint-Geyrac;50;3.0;58.0;0.0;0.0;8.0;14.0;49.0;1.0;0.0
24422;Saint-Hilaire-d'Estissac;14;0.0;26.0;0.0;21.0;0.0;4.0;37.0;0.0;0.0
24423;Saint-Julien-Innocence-Eulalie;43;0.0;38.0;0.0;27.0;0.0;10.0;78.0;0.0;0.0
24424;Saint-Jean-d'Ataux;15;1.0;25.0;0.0;18.0;0.0;6.0;35.0;0.0;1.0
24425;Saint-Jean-de-Côle;59;3.0;82.0;0.0;59.0;0.0;16.0;76.0;0.0;0.0
24426;Saint-Jean-d'Estissac;39;0.0;41.0;0.0;25.0;0.0;8.0;30.0;0.0;0.0
24428;Saint-Jory-de-Chalais;133;1.0;86.0;0.0;52.0;0.0;9.0;120.0;0.0;0.0
24429;Saint-Jory-las-Bloux;52;1.0;53.0;0.0;34.0;0.0;9.0;44.0;0.0;0.0
24432;Saint-Julien-de-Lampon;144;3.0;146.0;0.0;23.0;79.0;31.0;141.0;4.0;0.0
24434;Saint-Just;26;0.0;27.0;0.0;11.0;0.0;3.0;30.0;0.0;0.0
24436;Saint-Laurent-des-Hommes;252;7.0;157.0;0.0;128.0;0.0;32.0;302.0;5.0;1.0
24437;Saint-Laurent-des-Vignes;190;8.0;106.0;0.0;126.0;0.0;49.0;264.0;0.0;0.0
24438;Saint-Laurent-la-Vallée;50;1.0;53.0;0.0;0.0;32.0;10.0;51.0;2.0;0.0
24441;Saint-Léon-d'Issigeac;22;2.0;32.0;0.0;22.0;0.0;5.0;33.0;0.0;0.0
24442;Saint-Léon-sur-l'Isle;464;21.0;336.0;0.0;188.0;0.0;59.0;458.0;14.0;6.0
24443;Saint-Léon-sur-Vézère;106;6.0;173.0;0.0;0.0;25.0;13.0;38.0;5.0;0.0
24444;Saint-Louis-en-l'Isle;69;2.0;39.0;0.0;37.0;0.0;10.0;78.0;3.0;0.0
24445;Saint-Marcel-du-Périgord;27;0.0;25.0;0.0;20.0;0.0;6.0;42.0;0.0;0.0
24446;Saint-Marcory;7;1.0;16.0;0.0;9.0;0.0;3.0;8.0;0.0;0.0
24448;Saint-Martial-d'Albarède;87;3.0;71.0;0.0;81.0;0.0;22.0;97.0;0.0;0.0
24449;Saint-Martial-d'Artenset;206;5.0;142.0;0.0;92.0;0.0;22.0;272.0;3.0;2.0
24450;Saint-Martial-de-Nabirat;137;6.0;103.0;0.0;18.0;68.0;27.0;130.0;2.0;0.0
24451;Saint-Martial-de-Valette;202;5.0;119.0;0.0;108.0;0.0;25.0;159.0;0.0;0.0
24452;Saint-Martial-Viveyrol;29;0.0;24.0;0.0;31.0;0.0;7.0;47.0;0.0;0.0
24453;Saint-Martin-de-Fressengeas;63;0.0;86.0;0.0;59.0;0.0;18.0;81.0;0.0;0.0
24454;Saint-Martin-de-Gurson;144;6.0;87.0;0.0;35.0;0.0;18.0;195.0;0.0;0.0
24455;Saint-Martin-de-Ribérac;153;2.0;104.0;0.0;104.0;0.0;23.0;155.0;0.0;0.0
24456;Saint-Martin-des-Combes;48;4.0;33.0;0.0;33.0;0.0;6.0;55.0;0.0;0.0
24457;Saint-Martin-l'Astier;23;1.0;23.0;0.0;27.0;0.0;4.0;31.0;0.0;0.0
24458;Saint-Martin-le-Pin;48;1.0;63.0;0.0;49.0;0.0;8.0;70.0;0.0;0.0
24459;Saint-Mayme-de-Péreyrol;59;1.0;62.0;0.0;0.0;22.0;17.0;73.0;3.0;0.0
24460;Saint-Méard-de-Drône;127;1.0;64.0;0.0;51.0;0.0;23.0;100.0;0.0;0.0
24461;Saint-Méard-de-Gurçon;139;7.0;87.0;0.0;74.0;0.0;46.0;214.0;0.0;0.0
24462;Saint-Médard-de-Mussidan;353;9.0;235.0;0.0;155.0;0.0;36.0;429.0;0.0;2.0
24463;Saint-Médard-d'Excideuil;103;5.0;55.0;0.0;86.0;0.0;28.0;135.0;0.0;0.0
24464;Saint-Mesmin;46;1.0;27.0;0.0;62.0;0.0;12.0;68.0;0.0;0.0
24465;Saint-Michel-de-Double;61;5.0;46.0;0.0;21.0;0.0;10.0;63.0;1.0;0.0
24466;Saint-Michel-de-Montaigne;96;3.0;46.0;0.0;42.0;0.0;13.0;90.0;0.0;0.0
