CODGEO;LIBGEO;Abstention;Extrême-Gauche;NUPES;Divers Gauche;Ensemble;Divers Droite;Droite souverainiste;LR;RN;Reconquête;Divers
29004;Bannalec;2232.0;51.0;757.0;43.0;646.0;0.0;44.0;117.0;446.0;78.0;61.0
29005;Baye;499.0;10.0;166.0;2.0;222.0;0.0;17.0;38.0;87.0;20.0;15.0
29031;Clohars-Carnoët;1868.0;46.0;777.0;42.0;970.0;0.0;35.0;212.0;344.0;153.0;39.0
29039;Concarneau;9091.0;139.0;2664.0;213.0;3425.0;0.0;121.0;704.0;1117.0;332.0;142.0
29049;Elliant;1106.0;32.0;444.0;28.0;447.0;0.0;14.0;76.0;218.0;35.0;35.0
29071;Guilligomarc'h;285.0;2.0;105.0;0.0;98.0;0.0;5.0;37.0;72.0;18.0;8.0
29136;Locunolé;429.0;14.0;148.0;4.0;154.0;0.0;5.0;20.0;93.0;20.0;8.0
29146;Melgven;1325.0;30.0;411.0;38.0;422.0;0.0;25.0;98.0;308.0;50.0;33.0
29147;Mellac;1253.0;31.0;483.0;23.0;492.0;0.0;18.0;57.0;243.0;45.0;15.0
29150;Moëlan-sur-Mer;2827.0;61.0;1211.0;57.0;1204.0;0.0;38.0;234.0;512.0;141.0;61.0
29153;Névez;1204.0;7.0;401.0;37.0;577.0;0.0;23.0;144.0;209.0;58.0;30.0
29217;Pont-Aven;1052.0;26.0;367.0;25.0;471.0;0.0;18.0;123.0;183.0;54.0;17.0
29230;Querrien;576.0;18.0;252.0;10.0;244.0;0.0;17.0;39.0;128.0;32.0;16.0
29233;Quimperlé;4317.0;88.0;1550.0;96.0;1630.0;0.0;59.0;253.0;621.0;133.0;59.0
29234;Rédené;1066.0;18.0;317.0;29.0;466.0;0.0;16.0;66.0;221.0;63.0;26.0
29236;Riec-sur-Belon;1701.0;44.0;648.0;41.0;684.0;0.0;24.0;141.0;347.0;65.0;40.0
29241;Rosporden;3016.0;61.0;1036.0;79.0;903.0;0.0;41.0;160.0;504.0;65.0;44.0
29269;Saint-Thurien;350.0;9.0;121.0;3.0;128.0;0.0;4.0;17.0;91.0;8.0;18.0
29272;Saint-Yvi;1177.0;34.0;389.0;36.0;405.0;0.0;12.0;78.0;237.0;29.0;28.0
29274;Scaër;2146.0;39.0;684.0;36.0;594.0;0.0;27.0;124.0;458.0;50.0;47.0
29281;Tourch;386.0;5.0;120.0;1.0;127.0;0.0;10.0;17.0;100.0;9.0;6.0
29293;Trégunc;3017.0;66.0;1030.0;71.0;1230.0;0.0;38.0;239.0;539.0;136.0;64.0
29297;Tréméven;872.0;30.0;282.0;19.0;321.0;0.0;14.0;53.0;194.0;30.0;11.0
29300;Le Trévoux;585.0;4.0;223.0;3.0;228.0;0.0;19.0;37.0;136.0;33.0;14.0
30032;Beaucaire;6191.0;49.0;940.0;68.0;616.0;40.0;0.0;193.0;2330.0;210.0;14.0
30034;Bellegarde;2989.0;11.0;378.0;49.0;662.0;33.0;0.0;74.0;1055.0;113.0;10.0
30047;Bouillargues;2667.0;19.0;423.0;32.0;663.0;43.0;0.0;121.0;815.0;153.0;11.0
30060;Caissargues;1696.0;10.0;256.0;36.0;497.0;25.0;0.0;110.0;554.0;124.0;12.0
30117;Fourques;999.0;13.0;226.0;20.0;260.0;10.0;0.0;33.0;403.0;56.0;6.0
30125;Garons;2302.0;12.0;279.0;27.0;369.0;17.0;0.0;61.0;543.0;99.0;11.0
