CODGEO;LIBGEO;Abstention;Extrême-Gauche;NUPES;Divers Gauche;Ensemble;Divers Droite;Droite souverainiste;LR;RN;Reconquête;Divers
100;France entière;25696346.0;219871.0;5836235.0;995023.0;6084643.0;616421.0;242502.0;2370836.0;4248622.0;964878.0;294880.0
01016;Arbigny;154.0;2.0;26.0;3.0;30.0;0.0;3.0;44.0;49.0;6.0;0.0
01024;Attignat;1281.0;3.0;215.0;35.0;241.0;0.0;14.0;303.0;270.0;61.0;0.0
01029;Beaupont;224.0;0.0;39.0;4.0;38.0;0.0;9.0;62.0;49.0;15.0;0.0
01038;Bény;306.0;3.0;81.0;6.0;40.0;0.0;3.0;98.0;49.0;14.0;0.0
01040;Béréziat;179.0;1.0;42.0;2.0;37.0;0.0;1.0;58.0;32.0;5.0;0.0
01050;Boissey;137.0;1.0;15.0;2.0;17.0;0.0;2.0;36.0;47.0;2.0;0.0
01053;Bourg-en-Bresse;8426.0;80.0;2282.0;180.0;1451.0;0.0;90.0;1589.0;917.0;380.0;0.0
01057;Boz;210.0;1.0;40.0;7.0;28.0;0.0;6.0;30.0;58.0;4.0;0.0
01065;Buellas;654.0;4.0;170.0;18.0;166.0;0.0;6.0;181.0;161.0;43.0;0.0
01069;Certines;639.0;8.0;133.0;19.0;98.0;0.0;10.0;104.0;123.0;26.0;0.0
01072;Ceyzériat;1135.0;10.0;326.0;33.0;248.0;0.0;10.0;398.0;183.0;51.0;0.0
01094;Chavannes-sur-Reyssouze;276.0;0.0;43.0;5.0;77.0;0.0;2.0;57.0;84.0;10.0;0.0
01095;Nivigne et Suran;240.0;2.0;95.0;11.0;46.0;0.0;11.0;67.0;98.0;12.0;0.0
01102;Chevroux;368.0;1.0;51.0;2.0;66.0;0.0;6.0;82.0;106.0;12.0;0.0
01106;Cize;75.0;0.0;22.0;3.0;5.0;0.0;3.0;12.0;15.0;4.0;0.0
01108;Coligny;434.0;1.0;118.0;13.0;63.0;0.0;2.0;129.0;121.0;34.0;0.0
01115;Confrançon;515.0;2.0;91.0;16.0;96.0;0.0;5.0;76.0;112.0;22.0;0.0
01124;Cormoz;296.0;4.0;26.0;4.0;41.0;0.0;6.0;83.0;46.0;11.0;0.0
01125;Corveissiat;195.0;1.0;71.0;8.0;35.0;0.0;5.0;54.0;63.0;5.0;0.0
01127;Courmangoux;150.0;2.0;56.0;11.0;53.0;0.0;4.0;52.0;44.0;10.0;0.0
01128;Courtes;106.0;0.0;22.0;8.0;20.0;0.0;0.0;21.0;37.0;6.0;0.0
01130;Bresse Vallons;925.0;10.0;165.0;20.0;140.0;0.0;20.0;196.0;207.0;44.0;0.0
01139;Curciat-Dongalon;155.0;1.0;21.0;7.0;36.0;0.0;3.0;41.0;51.0;5.0;0.0
01140;Curtafond;241.0;4.0;71.0;7.0;48.0;0.0;9.0;93.0;73.0;10.0;0.0
01145;Dompierre-sur-Veyle;459.0;2.0;74.0;18.0;92.0;0.0;10.0;82.0;135.0;21.0;0.0
01147;Domsure;204.0;1.0;27.0;1.0;30.0;0.0;3.0;82.0;46.0;7.0;0.0
01150;Drom;67.0;2.0;41.0;3.0;16.0;0.0;3.0;22.0;24.0;2.0;0.0
01151;Druillat;417.0;5.0;106.0;12.0;78.0;0.0;8.0;107.0;120.0;28.0;0.0
01163;Foissiat;865.0;2.0;106.0;24.0;128.0;0.0;9.0;241.0;185.0;29.0;0.0
01175;Gorrevod;334.0;6.0;67.0;11.0;72.0;0.0;4.0;90.0;60.0;8.0;0.0
01177;Grand-Corent;53.0;1.0;47.0;5.0;22.0;0.0;2.0;13.0;13.0;5.0;0.0
01184;Hautecourt-Romanèche;306.0;2.0;93.0;12.0;48.0;0.0;5.0;75.0;87.0;12.0;0.0
01195;Jasseron;643.0;2.0;189.0;27.0;137.0;0.0;5.0;185.0;126.0;32.0;0.0
01196;Jayat;509.0;3.0;58.0;16.0;63.0;0.0;2.0;107.0;110.0;14.0;0.0
01197;Journans;100.0;3.0;77.0;11.0;14.0;0.0;4.0;34.0;25.0;14.0;0.0
01212;Lescheroux;295.0;8.0;36.0;6.0;25.0;0.0;2.0;86.0;91.0;8.0;0.0
01229;Malafretaz;511.0;4.0;76.0;13.0;96.0;0.0;5.0;103.0;105.0;10.0;0.0
01230;Mantenay-Montlin;127.0;1.0;23.0;3.0;23.0;0.0;2.0;45.0;33.0;5.0;0.0
01232;Marboz;905.0;2.0;158.0;21.0;156.0;0.0;5.0;263.0;175.0;40.0;0.0
01236;Marsonnas;396.0;5.0;57.0;12.0;94.0;0.0;3.0;79.0;80.0;18.0;0.0
01241;Meillonnas;487.0;2.0;172.0;16.0;102.0;0.0;4.0;132.0;108.0;28.0;0.0
01245;Bohas-Meyriat-Rignat;347.0;6.0;120.0;16.0;66.0;0.0;9.0;81.0;55.0;21.0;0.0
01259;Montcet;227.0;2.0;55.0;12.0;47.0;0.0;8.0;60.0;71.0;9.0;0.0
01266;Montrevel-en-Bresse;1035.0;8.0;182.0;12.0;186.0;0.0;17.0;266.0;211.0;54.0;0.0
01273;Neuville-sur-Ain;683.0;12.0;138.0;18.0;97.0;0.0;5.0;98.0;179.0;42.0;0.0
01284;Ozan;294.0;3.0;43.0;12.0;40.0;0.0;6.0;48.0;89.0;4.0;0.0
01296;Pirajoux;193.0;1.0;18.0;4.0;7.0;0.0;2.0;52.0;35.0;6.0;0.0
01301;Polliat;1019.0;9.0;189.0;21.0;216.0;0.0;22.0;332.0;208.0;40.0;0.0
01304;Pont-d'Ain;1127.0;13.0;212.0;22.0;126.0;0.0;18.0;172.0;194.0;47.0;0.0
01305;Pont-de-Vaux;835.0;5.0;133.0;14.0;158.0;0.0;8.0;179.0;122.0;20.0;0.0
01309;Pouillat;26.0;0.0;8.0;2.0;8.0;0.0;1.0;7.0;13.0;2.0;0.0
01314;Priay;658.0;9.0;130.0;24.0;93.0;0.0;10.0;111.0;189.0;28.0;0.0
01317;Ramasse;105.0;1.0;44.0;3.0;15.0;0.0;1.0;31.0;43.0;6.0;0.0
01321;Revonnas;332.0;7.0;115.0;13.0;78.0;0.0;7.0;69.0;76.0;8.0;0.0
01323;Reyssouze;393.0;3.0;64.0;7.0;79.0;0.0;4.0;62.0;106.0;13.0;0.0
01337;Saint-Bénigne;511.0;4.0;85.0;13.0;96.0;0.0;9.0;110.0;122.0;24.0;0.0
01344;Saint-Denis-lès-Bourg;2151.0;24.0;624.0;79.0;655.0;0.0;40.0;544.0;361.0;106.0;0.0
01346;Saint-Didier-d'Aussiat;285.0;3.0;55.0;7.0;61.0;0.0;6.0;94.0;90.0;17.0;0.0
01350;Saint-Etienne-du-Bois;915.0;13.0;233.0;19.0;183.0;0.0;13.0;327.0;213.0;45.0;0.0
01352;Saint-Etienne-sur-Reyssouze;223.0;2.0;36.0;7.0;38.0;0.0;2.0;52.0;42.0;5.0;0.0
01364;Saint-Jean-sur-Reyssouze;313.0;1.0;40.0;11.0;41.0;0.0;5.0;72.0;74.0;8.0;0.0
01367;Saint-Julien-sur-Reyssouze;211.0;2.0;54.0;5.0;36.0;0.0;4.0;60.0;78.0;12.0;0.0
01374;Saint-Martin-du-Mont;720.0;9.0;171.0;16.0;132.0;0.0;15.0;189.0;161.0;45.0;0.0
01375;Saint-Martin-le-Châtel;304.0;0.0;72.0;7.0;67.0;0.0;10.0;76.0;80.0;21.0;0.0
01380;Saint-Nizier-le-Bouchoux;221.0;3.0;44.0;5.0;54.0;0.0;8.0;84.0;87.0;10.0;0.0
01387;Saint-Sulpice;70.0;1.0;15.0;3.0;17.0;0.0;7.0;22.0;35.0;1.0;0.0
01388;Saint-Trivier-de-Courtes;357.0;2.0;30.0;6.0;73.0;0.0;6.0;113.0;111.0;13.0;0.0
01391;Salavre;107.0;1.0;31.0;4.0;14.0;0.0;5.0;49.0;36.0;11.0;0.0
01402;Sermoyer;239.0;1.0;58.0;7.0;36.0;0.0;4.0;42.0;89.0;27.0;0.0
01406;Servignat;49.0;1.0;12.0;4.0;14.0;0.0;0.0;25.0;19.0;7.0;0.0
01408;Simandre-sur-Suran;253.0;3.0;96.0;7.0;32.0;0.0;7.0;68.0;58.0;15.0;0.0
01422;Tossiat;560.0;5.0;135.0;11.0;119.0;0.0;8.0;120.0;118.0;32.0;0.0
01425;La Tranclière;108.0;2.0;24.0;4.0;35.0;0.0;1.0;23.0;25.0;11.0;0.0
01426;Val-Revermont;861.0;5.0;348.0;26.0;154.0;0.0;12.0;196.0;222.0;45.0;0.0
01429;Vandeins;250.0;2.0;42.0;8.0;40.0;0.0;4.0;67.0;72.0;14.0;0.0
01430;Varambon;218.0;4.0;47.0;6.0;42.0;0.0;2.0;43.0;51.0;13.0;0.0
01432;Verjon;108.0;2.0;31.0;14.0;14.0;0.0;2.0;52.0;32.0;6.0;0.0
01433;Vernoux;87.0;3.0;20.0;3.0;9.0;0.0;4.0;29.0;36.0;3.0;0.0
01437;Vescours;71.0;3.0;8.0;0.0;15.0;0.0;1.0;23.0;20.0;5.0;0.0
01445;Villemotier;236.0;3.0;42.0;6.0;32.0;0.0;0.0;73.0;58.0;10.0;0.0
01447;Villereversure;467.0;0.0;108.0;8.0;70.0;0.0;12.0;121.0;115.0;22.0;0.0
01451;Viriat;2484.0;21.0;442.0;60.0;460.0;0.0;30.0;745.0;457.0;94.0;0.0
01008;Ambutrix;239.0;5.0;70.0;5.0;63.0;4.0;5.0;52.0;87.0;14.0;2.0
01021;Ars-sur-Formans;471.0;2.0;96.0;4.0;136.0;10.0;5.0;97.0;141.0;66.0;3.0
01027;Balan;667.0;5.0;106.0;7.0;163.0;5.0;13.0;100.0;182.0;21.0;3.0
01030;Beauregard;314.0;3.0;59.0;5.0;59.0;11.0;8.0;44.0;58.0;14.0;1.0
01032;Béligneux;1133.0;9.0;210.0;13.0;215.0;11.0;7.0;120.0;249.0;53.0;5.0
01043;Beynost;1865.0;12.0;515.0;31.0;612.0;13.0;19.0;235.0;342.0;77.0;14.0
01047;Blyes;422.0;3.0;88.0;12.0;88.0;4.0;7.0;91.0;123.0;29.0;2.0
01049;La Boisse;1215.0;12.0;310.0;19.0;297.0;22.0;12.0;139.0;262.0;62.0;7.0
01054;Bourg-Saint-Christophe;483.0;4.0;163.0;6.0;146.0;5.0;8.0;70.0;164.0;30.0;3.0
01062;Bressolles;329.0;2.0;88.0;4.0;128.0;4.0;4.0;71.0;60.0;14.0;4.0
01088;Charnoz-sur-Ain;363.0;3.0;83.0;7.0;81.0;8.0;13.0;66.0;128.0;24.0;1.0
01099;Chazey-sur-Ain;593.0;4.0;144.0;8.0;151.0;14.0;8.0;126.0;143.0;26.0;1.0
01105;Civrieux;697.0;6.0;129.0;8.0;225.0;14.0;9.0;84.0;157.0;44.0;5.0
01142;Dagneux;1742.0;15.0;421.0;18.0;428.0;20.0;18.0;176.0;364.0;80.0;2.0
01156;Faramans;308.0;6.0;51.0;2.0;79.0;7.0;3.0;50.0;116.0;26.0;1.0
01166;Frans;896.0;9.0;196.0;19.0;290.0;12.0;10.0;141.0;192.0;39.0;3.0
01194;Jassans-Riottier;2417.0;23.0;494.0;26.0;578.0;17.0;28.0;289.0;424.0;103.0;15.0
01198;Joyeux;91.0;0.0;31.0;1.0;28.0;3.0;2.0;30.0;17.0;4.0;0.0
01202;Lagnieu;2724.0;19.0;591.0;22.0;413.0;60.0;42.0;768.0;546.0;76.0;15.0
01213;Leyment;534.0;10.0;124.0;3.0;82.0;2.0;1.0;62.0;142.0;30.0;1.0
01224;Loyettes;1300.0;12.0;173.0;8.0;196.0;7.0;8.0;126.0;264.0;30.0;6.0
01238;Massieux;1056.0;10.0;236.0;8.0;291.0;6.0;20.0;115.0;260.0;49.0;3.0
01244;Meximieux;2968.0;21.0;757.0;46.0;698.0;39.0;37.0;341.0;519.0;81.0;20.0
01248;Mionnay;856.0;5.0;231.0;10.0;265.0;18.0;11.0;97.0;256.0;59.0;8.0
01249;Miribel;3688.0;32.0;1010.0;50.0;954.0;45.0;46.0;384.0;647.0;144.0;18.0
01250;Misérieux;655.0;5.0;189.0;13.0;187.0;5.0;10.0;85.0;142.0;30.0;3.0
01260;Le Montellier;91.0;3.0;19.0;2.0;34.0;0.0;1.0;36.0;29.0;6.0;0.0
01262;Montluel;2380.0;17.0;662.0;35.0;631.0;16.0;24.0;261.0;392.0;83.0;6.0
01275;Neyron;958.0;5.0;226.0;9.0;315.0;11.0;20.0;135.0;163.0;56.0;4.0
01276;Niévroz;659.0;9.0;144.0;6.0;148.0;6.0;9.0;67.0;167.0;35.0;1.0
01285;Parcieux;462.0;5.0;131.0;4.0;175.0;5.0;8.0;68.0;108.0;32.0;0.0
01290;Pérouges;477.0;3.0;136.0;6.0;140.0;5.0;3.0;91.0;134.0;34.0;2.0
01297;Pizay;346.0;3.0;95.0;6.0;74.0;3.0;6.0;49.0;107.0;19.0;0.0
01318;Rancé;273.0;1.0;68.0;1.0;56.0;4.0;9.0;36.0;79.0;18.0;3.0
01322;Reyrieux;1879.0;13.0;459.0;14.0;570.0;15.0;12.0;240.0;401.0;92.0;8.0
01325;Rignieux-le-Franc;382.0;3.0;84.0;8.0;107.0;7.0;7.0;64.0;130.0;18.0;4.0
01333;Saint-André-de-Corcy;1323.0;13.0;354.0;15.0;323.0;11.0;22.0;122.0;405.0;61.0;6.0
01339;Saint-Bernard;628.0;4.0;125.0;4.0;263.0;13.0;10.0;96.0;119.0;38.0;2.0
01342;Sainte-Croix;169.0;1.0;64.0;10.0;57.0;4.0;10.0;50.0;45.0;10.0;1.0
01347;Saint-Didier-de-Formans;759.0;4.0;237.0;13.0;283.0;7.0;8.0;151.0;220.0;24.0;5.0
01349;Saint-Eloi;188.0;0.0;58.0;5.0;44.0;4.0;7.0;48.0;42.0;16.0;1.0
01353;Sainte-Euphémie;565.0;2.0;153.0;8.0;185.0;7.0;4.0;69.0;141.0;30.0;3.0
01361;Saint-Jean-de-Niost;607.0;2.0;151.0;8.0;178.0;6.0;5.0;96.0;240.0;42.0;7.0
01362;Saint-Jean-de-Thurigneux;253.0;2.0;51.0;5.0;97.0;3.0;1.0;54.0;104.0;16.0;0.0
01366;Sainte-Julie;325.0;4.0;119.0;3.0;60.0;4.0;6.0;85.0;108.0;19.0;0.0
01376;Saint-Maurice-de-Beynost;1380.0;14.0;341.0;22.0;294.0;10.0;13.0;100.0;229.0;46.0;10.0
01378;Saint-Maurice-de-Gourdans;1119.0;6.0;188.0;6.0;259.0;8.0;13.0;161.0;302.0;75.0;16.0
01386;Saint-Sorlin-en-Bugey;379.0;5.0;119.0;4.0;90.0;20.0;11.0;120.0;94.0;19.0;4.0
01390;Saint-Vulbas;469.0;2.0;56.0;7.0;45.0;4.0;5.0;81.0;157.0;36.0;1.0
01396;Sault-Brénaz;312.0;10.0;51.0;2.0;56.0;4.0;2.0;56.0;78.0;9.0;0.0
01411;Souclin;70.0;1.0;22.0;6.0;13.0;4.0;3.0;29.0;44.0;4.0;0.0
01418;Thil;446.0;1.0;125.0;5.0;159.0;6.0;6.0;33.0;101.0;30.0;0.0
01423;Toussieux;355.0;3.0;128.0;6.0;112.0;5.0;8.0;46.0;106.0;36.0;5.0
01424;Tramoyes;606.0;4.0;197.0;13.0;256.0;7.0;10.0;102.0;173.0;55.0;3.0
01427;Trévoux;2075.0;15.0;661.0;26.0;535.0;17.0;26.0;289.0;355.0;86.0;10.0
01431;Vaux-en-Bugey;384.0;6.0;163.0;8.0;91.0;10.0;12.0;108.0;85.0;29.0;5.0
01444;Villebois;461.0;8.0;150.0;7.0;70.0;12.0;2.0;93.0;107.0;22.0;5.0
01450;Villieu-Loyes-Mollon;1464.0;9.0;326.0;24.0;343.0;14.0;16.0;197.0;404.0;71.0;7.0
01006;Ambléon;38.0;3.0;13.0;0.0;17.0;0.0;0.0;17.0;8.0;1.0;0.0
01009;Andert-et-Condon;121.0;2.0;42.0;3.0;40.0;0.0;3.0;35.0;22.0;6.0;2.0
01010;Anglefort;453.0;2.0;84.0;3.0;82.0;0.0;10.0;56.0;93.0;10.0;0.0
01015;Arboys en Bugey;240.0;4.0;56.0;0.0;91.0;0.0;4.0;78.0;45.0;14.0;2.0
01033;Valserhône;5850.0;59.0;993.0;53.0;845.0;0.0;50.0;537.0;731.0;181.0;60.0
01034;Belley;3292.0;28.0;609.0;22.0;601.0;0.0;34.0;656.0;463.0;146.0;25.0
01044;Billiat;262.0;6.0;34.0;1.0;34.0;0.0;7.0;34.0;40.0;2.0;4.0
01058;Brégnier-Cordon;355.0;4.0;76.0;2.0;67.0;0.0;1.0;55.0;66.0;10.0;3.0
01061;Brens;488.0;1.0;94.0;7.0;133.0;0.0;6.0;70.0;100.0;27.0;3.0
01071;Cessy;1678.0;1.0;219.0;18.0;440.0;0.0;20.0;199.0;137.0;74.0;22.0
01078;Challex;475.0;3.0;85.0;6.0;91.0;0.0;5.0;58.0;45.0;25.0;5.0
01081;Champfromier;247.0;3.0;68.0;2.0;71.0;0.0;3.0;38.0;53.0;11.0;3.0
01082;Chanay;171.0;5.0;47.0;4.0;46.0;0.0;3.0;22.0;39.0;12.0;2.0
01098;Chazey-Bons;344.0;4.0;57.0;4.0;77.0;0.0;2.0;48.0;88.0;15.0;1.0
01103;Chevry;575.0;2.0;79.0;3.0;186.0;0.0;13.0;72.0;54.0;33.0;4.0
01104;Chézery-Forens;173.0;2.0;36.0;1.0;45.0;0.0;3.0;47.0;38.0;5.0;1.0
01109;Collonges;834.0;2.0;99.0;6.0;124.0;0.0;6.0;69.0;100.0;27.0;10.0
01110;Colomieu;70.0;1.0;26.0;0.0;12.0;0.0;2.0;9.0;8.0;2.0;1.0
01114;Confort;184.0;2.0;59.0;2.0;39.0;0.0;2.0;39.0;41.0;10.0;3.0
01117;Conzieu;56.0;0.0;18.0;3.0;19.0;0.0;0.0;13.0;5.0;3.0;0.0
01118;Corbonod;472.0;6.0;81.0;2.0;81.0;0.0;9.0;42.0;96.0;12.0;2.0
01133;Cressin-Rochefort;151.0;4.0;30.0;8.0;42.0;0.0;7.0;26.0;38.0;11.0;1.0
01135;Crozet;675.0;2.0;126.0;11.0;204.0;0.0;12.0;61.0;89.0;45.0;5.0
01138;Culoz;1119.0;18.0;212.0;15.0;174.0;0.0;7.0;72.0;199.0;51.0;8.0
01143;Divonne-les-Bains;3565.0;5.0;376.0;45.0;1092.0;0.0;31.0;818.0;203.0;139.0;48.0
01153;Echenevex;661.0;5.0;99.0;12.0;243.0;0.0;7.0;87.0;55.0;39.0;5.0
01158;Farges;381.0;2.0;45.0;5.0;63.0;0.0;2.0;39.0;29.0;11.0;10.0
01160;Ferney-Voltaire;2303.0;10.0;488.0;41.0;582.0;0.0;21.0;180.0;136.0;80.0;61.0
01173;Gex;4054.0;13.0;617.0;35.0;752.0;0.0;40.0;576.0;279.0;131.0;49.0
01174;Giron;37.0;1.0;21.0;1.0;23.0;0.0;2.0;18.0;13.0;3.0;4.0
01180;Grilly;277.0;0.0;29.0;2.0;115.0;0.0;8.0;80.0;21.0;11.0;3.0
01189;Injoux-Génissiat;382.0;3.0;97.0;5.0;81.0;0.0;5.0;25.0;86.0;16.0;4.0
01193;Izieu;60.0;0.0;30.0;1.0;19.0;0.0;2.0;33.0;29.0;14.0;2.0
01208;Lavours;35.0;2.0;16.0;0.0;13.0;0.0;0.0;18.0;17.0;5.0;0.0
01209;Léaz;280.0;0.0;49.0;8.0;53.0;0.0;4.0;16.0;52.0;14.0;5.0
01210;Lélex;109.0;0.0;27.0;0.0;34.0;0.0;2.0;30.0;17.0;2.0;1.0
01215;Surjoux-Lhopital;44.0;0.0;10.0;1.0;17.0;0.0;0.0;18.0;16.0;0.0;0.0
01227;Magnieu;255.0;0.0;71.0;5.0;63.0;0.0;7.0;35.0;61.0;28.0;3.0
01239;Massignieu-de-Rives;226.0;2.0;48.0;3.0;78.0;0.0;7.0;47.0;66.0;18.0;1.0
01247;Mijoux;119.0;2.0;20.0;5.0;26.0;0.0;8.0;33.0;8.0;4.0;0.0
01257;Montanges;147.0;1.0;35.0;1.0;30.0;0.0;6.0;15.0;38.0;8.0;3.0
01268;Murs-et-Gélignieux;88.0;1.0;13.0;2.0;31.0;0.0;1.0;27.0;26.0;8.0;0.0
01281;Ornex;1113.0;5.0;241.0;19.0;312.0;0.0;13.0;179.0;64.0;37.0;12.0
01286;Parves et Nattages;343.0;3.0;170.0;5.0;111.0;0.0;7.0;49.0;65.0;27.0;2.0
01288;Péron;830.0;4.0;161.0;13.0;200.0;0.0;9.0;98.0;86.0;34.0;18.0
01294;Peyrieu;326.0;3.0;75.0;5.0;75.0;0.0;4.0;65.0;68.0;13.0;0.0
01298;Plagne;55.0;1.0;15.0;0.0;10.0;0.0;0.0;12.0;14.0;2.0;0.0
01302;Pollieu;49.0;0.0;25.0;0.0;14.0;0.0;2.0;27.0;20.0;2.0;0.0
01308;Pougny;292.0;2.0;44.0;2.0;36.0;0.0;4.0;12.0;18.0;10.0;8.0
01310;Prémeyzel;51.0;2.0;24.0;0.0;22.0;0.0;0.0;11.0;11.0;3.0;1.0
01313;Prévessin-Moëns;2210.0;12.0;400.0;29.0;775.0;0.0;23.0;311.0;92.0;112.0;41.0
01354;Saint-Genis-Pouilly;3219.0;10.0;482.0;26.0;750.0;0.0;33.0;188.0;205.0;98.0;60.0
01357;Saint-Germain-de-Joux;150.0;0.0;30.0;4.0;30.0;0.0;2.0;12.0;21.0;7.0;1.0
01358;Saint-Germain-les-Paroisses;123.0;1.0;35.0;1.0;33.0;0.0;0.0;69.0;32.0;33.0;1.0
01360;Saint-Jean-de-Gonville;597.0;1.0;89.0;8.0;136.0;0.0;6.0;136.0;54.0;22.0;10.0
01397;Sauverny;341.0;0.0;34.0;2.0;77.0;0.0;7.0;94.0;26.0;8.0;3.0
01399;Ségny;676.0;2.0;90.0;12.0;163.0;0.0;6.0;144.0;50.0;23.0;10.0
01401;Sergy;557.0;1.0;98.0;9.0;189.0;0.0;14.0;76.0;43.0;16.0;11.0
01407;Seyssel;367.0;8.0;76.0;3.0;84.0;0.0;13.0;45.0;45.0;17.0;2.0
01419;Thoiry;1778.0;3.0;329.0;23.0;573.0;0.0;22.0;241.0;148.0;67.0;27.0
01435;Versonnex;790.0;5.0;108.0;11.0;138.0;0.0;6.0;86.0;49.0;12.0;14.0
01436;Vesancy;172.0;2.0;27.0;5.0;71.0;0.0;0.0;50.0;5.0;2.0;2.0
01448;Villes;147.0;0.0;21.0;2.0;33.0;0.0;2.0;28.0;37.0;7.0;3.0
01454;Virignin;414.0;5.0;82.0;1.0;67.0;0.0;8.0;44.0;90.0;19.0;4.0
01001;L'Abergement-Clémenciat;301.0;4.0;52.0;24.0;83.0;4.0;5.0;59.0;87.0;21.0;0.0
01005;Ambérieux-en-Dombes;663.0;5.0;100.0;39.0;169.0;1.0;5.0;69.0;197.0;37.0;0.0
01023;Asnières-sur-Saône;25.0;0.0;6.0;3.0;2.0;0.0;0.0;10.0;11.0;3.0;0.0
01025;Bâgé-Dommartin;1729.0;11.0;213.0;96.0;375.0;17.0;20.0;162.0;357.0;48.0;0.0
01026;Bâgé-le-Châtel;308.0;5.0;47.0;24.0;104.0;3.0;2.0;42.0;64.0;8.0;0.0
01028;Baneins;221.0;2.0;24.0;15.0;50.0;1.0;1.0;40.0;67.0;13.0;0.0
01042;Bey;120.0;1.0;28.0;11.0;42.0;0.0;0.0;15.0;24.0;4.0;0.0
01045;Birieux;84.0;0.0;8.0;16.0;26.0;2.0;3.0;8.0;41.0;12.0;0.0
01046;Biziat;327.0;2.0;37.0;21.0;87.0;4.0;4.0;32.0;107.0;17.0;0.0
01052;Bouligneux;79.0;1.0;18.0;10.0;26.0;1.0;1.0;73.0;38.0;15.0;0.0
01053;Bourg-en-Bresse;4163.0;36.0;1105.0;365.0;932.0;19.0;36.0;407.0;481.0;225.0;0.0
01074;Chalamont;956.0;6.0;64.0;326.0;103.0;8.0;8.0;63.0;184.0;49.0;0.0
01075;Chaleins;540.0;1.0;75.0;22.0;126.0;6.0;4.0;56.0;133.0;20.0;0.0
01083;Chaneins;440.0;0.0;49.0;15.0;68.0;3.0;2.0;44.0;144.0;12.0;0.0
01084;Chanoz-Châtenay;329.0;0.0;48.0;12.0;86.0;3.0;2.0;54.0;84.0;24.0;0.0
01085;La Chapelle-du-Châtelard;167.0;1.0;13.0;8.0;27.0;2.0;0.0;40.0;44.0;7.0;0.0
01090;Châtenay;106.0;0.0;23.0;33.0;25.0;3.0;1.0;32.0;25.0;10.0;0.0
01092;Châtillon-la-Palud;650.0;1.0;149.0;70.0;133.0;9.0;7.0;53.0;178.0;34.0;0.0
01093;Châtillon-sur-Chalaronne;1972.0;10.0;252.0;113.0;460.0;15.0;23.0;420.0;364.0;95.0;0.0
01096;Chaveyriat;399.0;4.0;64.0;34.0;93.0;4.0;8.0;54.0;94.0;12.0;0.0
01113;Condeissiat;294.0;0.0;49.0;24.0;66.0;7.0;0.0;71.0;70.0;14.0;0.0
01123;Cormoranche-sur-Saône;442.0;1.0;74.0;32.0;133.0;3.0;2.0;82.0;115.0;20.0;0.0
01129;Crans;84.0;0.0;23.0;24.0;23.0;0.0;1.0;11.0;48.0;7.0;0.0
01134;Crottet;665.0;8.0;101.0;35.0;201.0;5.0;4.0;85.0;171.0;47.0;0.0
01136;Cruzilles-lès-Mépillat;358.0;6.0;39.0;24.0;103.0;3.0;6.0;41.0;95.0;11.0;0.0
01146;Dompierre-sur-Chalaronne;154.0;0.0;18.0;10.0;35.0;0.0;7.0;30.0;30.0;9.0;0.0
01157;Fareins;917.0;10.0;199.0;58.0;275.0;10.0;6.0;83.0;250.0;59.0;0.0
01159;Feillens;1442.0;5.0;143.0;49.0;368.0;10.0;15.0;209.0;287.0;72.0;0.0
01165;Francheleins;527.0;2.0;77.0;25.0;139.0;8.0;6.0;83.0;206.0;31.0;0.0
01167;Garnerans;298.0;2.0;44.0;14.0;65.0;1.0;8.0;32.0;75.0;26.0;0.0
01169;Genouilleux;230.0;0.0;49.0;10.0;59.0;3.0;7.0;31.0;89.0;17.0;0.0
01179;Grièges;759.0;7.0;117.0;47.0;194.0;6.0;14.0;96.0;199.0;43.0;0.0
01183;Guéreins;608.0;0.0;83.0;24.0;137.0;7.0;9.0;80.0;128.0;26.0;0.0
01188;Illiat;257.0;2.0;19.0;10.0;46.0;4.0;2.0;92.0;54.0;19.0;0.0
01203;Laiz;429.0;6.0;100.0;23.0;146.0;0.0;6.0;65.0;127.0;17.0;0.0
01207;Lapeyrouse;98.0;0.0;25.0;6.0;10.0;4.0;0.0;56.0;38.0;21.0;0.0
01211;Lent;560.0;3.0;102.0;50.0;145.0;10.0;4.0;55.0;146.0;22.0;0.0
01225;Lurcy;184.0;0.0;35.0;10.0;41.0;1.0;3.0;42.0;47.0;14.0;0.0
01231;Manziat;832.0;3.0;84.0;40.0;243.0;7.0;4.0;141.0;168.0;16.0;0.0
01235;Marlieux;407.0;4.0;60.0;26.0;63.0;3.0;4.0;60.0;84.0;37.0;0.0
01243;Messimy-sur-Saône;421.0;4.0;81.0;38.0;164.0;10.0;11.0;77.0;120.0;31.0;0.0
01246;Mézériat;978.0;3.0;92.0;44.0;171.0;10.0;13.0;107.0;161.0;25.0;0.0
01252;Mogneneins;315.0;2.0;50.0;11.0;89.0;3.0;3.0;49.0;75.0;17.0;0.0
01254;Montagnat;902.0;5.0;143.0;62.0;278.0;5.0;6.0;112.0;136.0;43.0;0.0
01258;Montceaux;480.0;1.0;55.0;32.0;98.0;7.0;6.0;79.0;155.0;33.0;0.0
01261;Monthieux;234.0;1.0;51.0;7.0;71.0;5.0;6.0;56.0;78.0;21.0;0.0
01263;Montmerle-sur-Saône;1600.0;6.0;219.0;70.0;431.0;14.0;11.0;178.0;349.0;93.0;0.0
