Labels;Couleurs
Abstention;#000000
Arthaud;#9d0d16
Poutou;#ce2929
Mélenchon;#ff3333
Hamon;#ff6d90
Macron;#ff9f0e
Fillon;#0890c5
Dupont-Aignan;#2443a7
Le Pen;#8d6026
Lassalle;#617b75
Cheminade;#7b6172
Asselineau;#cccccc
