Labels;Couleurs
Abstention;#000000
Arthaud;#9d0d16
Poutou;#ce2929
Roussel;#f1001c
Mélenchon;#ff3333
Hidalgo;#ff6d90
Jadot;#23b73d
Macron;#ff9f0e
Pécresse;#0890c5
Dupont-Aignan;#2443a7
Le Pen;#8d6026
Zemmour;#654519
Lassalle;#617b75
