CODGEO;LIBGEO;Abstention;Arthaud;Roussel;Macron;Lassalle;Le Pen;Zemmour;Mélenchon;Hidalgo;Jadot;Pécresse;Poutou;Dupont-Aignan
02284;Erloy;22;0;0;9;1;14;9;6;0;0;0;2;4
02286;Esquéhéries;150;3;7;144;14;234;21;37;5;6;4;0;10
02287;Essigny-le-Grand;198;1;17;191;19;265;59;102;11;24;31;5;11
02288;Essigny-le-Petit;86;1;5;40;6;91;16;24;0;7;12;2;2
02289;Essises;73;2;2;52;7;105;17;37;1;14;7;1;10
02290;Essômes-sur-Marne;590;11;45;308;39;448;102;260;21;48;51;19;30
02291;Estrées;53;1;2;50;10;76;20;28;2;3;14;1;3
02292;Etampes-sur-Marne;245;3;28;152;15;229;50;116;10;24;21;7;29
02293;Etaves-et-Bocquiaux;62;0;17;73;12;139;23;50;6;6;10;1;9
02294;Etouvelles;22;0;4;34;2;55;17;17;2;2;6;1;1
02295;Etréaupont;186;2;11;97;16;211;21;44;3;12;17;2;7
02296;Etreillers;226;8;15;159;13;239;54;70;6;14;30;10;19
02297;Etrépilly;22;0;2;23;3;26;6;20;2;0;3;0;1
02298;Etreux;303;6;13;117;17;373;33;95;9;8;26;5;28
02299;Evergnicourt;108;0;9;61;5;133;15;36;3;6;7;2;5
02302;Faverolles;60;2;9;39;6;77;15;29;0;3;16;2;4
02303;Fayet;104;1;5;195;7;93;67;53;2;11;37;2;8
02304;La Fère;516;6;6;157;21;406;51;140;7;13;27;5;27
02305;Fère-en-Tardenois;576;9;28;356;31;551;64;186;7;25;63;10;39
02306;La Ferté-Chevresis;109;2;5;49;3;147;24;38;7;9;19;1;9
02307;La Ferté-Milon;473;12;33;209;29;403;74;153;7;40;40;13;33
02308;Fesmy-le-Sart;82;0;7;41;6;145;10;30;1;2;10;1;10
02309;Festieux;132;0;7;73;8;167;25;50;1;8;9;4;12
02310;Fieulaine;49;0;2;31;6;67;18;20;1;3;12;0;1
02311;Filain;18;1;0;23;5;29;2;8;0;2;4;1;0
02312;La Flamengrie;179;5;6;118;15;281;39;68;7;12;19;4;17
02313;Flavigny-le-Grand-et-Beaurain;87;5;3;62;13;105;10;23;1;4;11;2;6
02315;Flavy-le-Martel;218;0;35;172;22;359;52;139;13;15;39;5;16
02316;Fleury;26;2;2;32;2;35;4;17;0;5;2;0;2
02317;Fluquières;22;1;1;30;1;61;20;12;0;3;2;1;0
02318;Folembray;244;8;12;143;15;351;52;118;8;15;11;11;15
02319;Fonsomme;76;5;10;47;2;112;37;28;5;8;10;1;5
02320;Fontaine-lès-Clercs;54;0;1;46;7;57;8;19;1;10;7;2;6
02321;Fontaine-lès-Vervins;154;3;13;136;11;191;43;60;5;17;20;1;19
02322;Fontaine-Notre-Dame;34;0;6;73;2;100;22;25;2;6;15;2;2
02323;Fontaine-Uterte;17;0;1;12;3;38;2;9;2;3;3;2;3
02324;Fontenelle;55;0;2;42;9;54;7;22;2;2;3;1;2
02326;Fontenoy;73;2;2;65;7;135;35;31;4;9;21;0;4
02327;Foreste;26;0;0;22;2;51;14;6;0;2;9;1;2
02328;Fossoy;97;2;17;71;8;122;31;43;4;9;12;0;11
02329;Fourdrain;78;3;5;58;8;73;15;57;3;12;2;1;3
02330;Francilly-Selency;85;0;1;101;2;95;20;41;2;14;22;1;7
02331;Franqueville;21;1;0;8;2;23;7;11;2;3;4;0;0
02332;Fresnes-en-Tardenois;32;0;2;29;6;60;9;22;0;6;4;1;6
02333;Fresnes-sous-Coucy;22;0;2;15;5;45;3;13;0;1;0;0;3
02334;Fresnoy-le-Grand;593;16;31;288;33;652;73;258;21;20;42;8;27
02335;Fressancourt;26;0;3;21;3;56;6;16;1;2;0;1;7
02336;Frières-Faillouël;163;5;19;86;9;260;36;84;9;12;18;4;9
02337;Froidestrées;22;0;3;20;2;65;9;23;1;2;6;3;2
02338;Froidmont-Cohartille;48;0;1;31;2;51;6;32;2;0;8;0;2
02339;Gandelu;149;6;12;57;17;138;23;69;2;4;5;4;12
02340;Gauchy;1166;36;88;571;50;1132;165;597;34;51;81;30;59
02341;Gercy;39;5;6;29;5;78;14;19;1;5;6;1;3
02342;Gergny;35;0;1;15;4;29;2;2;1;5;4;0;4
02343;Germaine;6;0;1;11;1;22;2;11;0;0;7;0;1
02345;Gibercourt;7;0;0;2;0;9;1;3;0;0;4;0;0
02346;Gizy;131;1;8;89;7;170;17;49;6;12;16;1;8
02347;Gland;95;3;8;59;11;103;29;35;2;3;10;3;3
02349;Goudelancourt-lès-Berrieux;7;1;2;15;2;16;4;3;0;1;2;0;0
02350;Goudelancourt-lès-Pierrepont;14;1;2;18;2;38;11;11;1;0;2;1;0
02351;Goussancourt;10;1;1;9;3;33;1;19;0;3;11;0;2
02352;Gouy;108;0;4;62;8;126;35;44;5;4;14;2;8
02353;Grandlup-et-Fay;41;0;1;34;7;89;17;26;5;4;8;0;4
02354;Grandrieux;21;0;1;10;5;17;3;1;0;0;3;0;0
02355;Gricourt;173;4;12;144;7;218;31;104;9;18;33;7;8
02356;Grisolles;28;2;0;22;5;37;8;27;0;2;4;1;4
02357;Gronard;7;0;0;12;3;12;3;4;0;1;4;0;0
02358;Grougis;70;0;7;37;11;108;14;19;0;1;7;3;5
02359;Grugies;210;3;21;144;14;254;26;118;10;10;22;5;10
