CODGEO;LIBGEO;Abstention;Arthaud;Roussel;Macron;Lassalle;Le Pen;Zemmour;Mélenchon;Hidalgo;Jadot;Pécresse;Poutou;Dupont-Aignan
08410;Semide;22;2;2;57;5;31;12;3;3;1;19;0;7
08411;Semuy;19;1;1;12;0;32;2;9;1;1;3;0;1
08412;Senuc;33;0;2;15;5;32;4;6;4;4;3;0;2
08413;Seraincourt;52;1;1;36;0;65;6;10;0;3;8;0;3
08415;Sery;57;1;2;36;7;69;17;24;4;7;4;1;3
08416;Seuil;31;1;2;22;2;55;11;5;0;2;5;1;4
08417;Sévigny-la-Forêt;74;0;2;32;7;64;14;15;0;4;10;1;6
08418;Sévigny-Waleppe;37;0;3;27;5;66;11;10;0;3;9;1;3
08419;Signy-l'Abbaye;233;6;10;172;26;257;37;104;3;20;21;3;14
08420;Signy-le-Petit;290;3;13;103;17;325;25;62;9;7;16;5;9
08421;Signy-Montlibert;12;0;0;10;5;25;7;2;1;2;6;0;1
08422;Singly;26;0;2;27;7;25;9;9;0;0;3;0;3
08424;Sommauthe;33;0;1;23;2;39;5;3;0;0;1;0;1
08425;Sommerance;7;0;0;3;4;19;1;3;1;1;0;0;3
08426;Son;10;1;0;18;3;17;8;5;1;0;6;0;0
08427;Sorbon;14;4;3;59;4;43;12;4;3;1;17;0;4
08428;Sorcy-Bauthémont;23;0;0;26;8;32;9;16;0;5;6;0;5
08429;Sormonne;84;1;11;54;6;143;26;48;3;8;13;2;7
08430;Stonne;10;0;0;6;2;13;3;2;0;0;1;0;2
08431;Sugny;23;0;0;15;3;18;7;3;0;2;5;1;5
08432;Sury;8;0;0;29;0;10;4;10;3;6;3;0;1
08433;Suzanne;14;0;3;13;5;16;0;5;3;3;1;1;1
08434;Sy;9;0;1;13;1;9;2;2;0;1;4;1;0
08435;Tagnon;156;5;13;176;9;188;35;62;8;19;26;3;11
08436;Taillette;75;2;3;52;9;70;16;28;2;3;8;3;4
08437;Tailly;65;0;0;23;16;36;10;9;1;1;8;0;2
08438;Taizy;15;0;1;10;2;19;6;14;1;0;11;0;3
08439;Tannay;28;0;1;35;3;27;8;10;2;0;3;0;4
08440;Tarzy;33;0;1;6;6;38;2;12;1;1;4;0;3
08444;Tétaigne;14;2;1;24;2;24;6;7;2;3;1;0;1
08445;Thelonne;73;1;8;54;9;96;9;33;0;6;8;1;11
08446;Thénorgues;19;0;1;19;0;18;1;2;1;1;5;0;1
08448;Thilay;237;2;13;121;15;229;36;90;8;19;34;7;9
08449;Thin-le-Moutier;91;3;8;78;21;142;23;50;4;10;17;1;7
08450;This;39;0;1;22;9;75;11;21;0;3;12;0;6
08451;Le Thour;52;2;0;58;7;90;17;22;2;3;12;0;2
08452;Thugny-Trugny;37;0;5;42;6;60;13;7;1;1;9;1;0
08453;Toges;11;0;1;12;4;32;4;2;1;1;0;0;4
08454;Touligny;27;0;0;5;1;18;2;9;1;4;4;0;1
08455;Tourcelles-Chaumont;5;1;1;14;0;27;2;2;0;0;2;0;0
08456;Tournavaux;38;1;8;20;6;69;18;30;0;1;6;0;0
08457;Tournes;173;4;18;178;20;188;40;83;13;21;31;2;17
08458;Tourteron;38;0;0;25;5;41;9;15;2;3;9;0;8
08459;Tremblois-lès-Carignan;26;0;2;12;1;24;2;6;1;0;0;0;3
08460;Tremblois-lès-Rocroi;27;0;0;9;5;60;11;11;0;1;1;2;0
08461;Vandy;32;1;2;35;3;49;15;16;2;1;6;3;2
08462;Vaux-Champagne;14;0;3;8;2;37;9;9;3;2;9;0;3
08463;Vaux-en-Dieulet;13;0;0;8;2;19;2;4;1;1;2;0;0
08464;Vaux-lès-Mouron;15;0;2;11;1;31;2;1;1;2;1;0;1
08465;Vaux-lès-Rubigny;7;0;0;6;2;17;1;2;0;0;4;0;0
08466;Vaux-lès-Mouzon;19;1;2;12;1;15;3;4;1;1;0;1;2
08467;Vaux-Montreuil;18;1;6;9;1;34;1;8;4;5;4;0;2
08468;Vaux-Villaine;23;1;1;26;7;48;9;7;1;0;9;1;4
08469;Vendresse;73;1;8;71;15;107;17;31;6;9;8;1;11
08470;Verpel;12;0;0;21;4;22;9;7;1;0;1;0;1
08471;Verrières;3;0;0;5;0;10;2;2;0;0;1;0;0
08472;Viel-Saint-Remy;76;5;7;27;4;66;8;28;3;4;5;3;5
08473;Vieux-lès-Asfeld;34;1;2;58;4;61;16;14;1;8;8;2;10
08476;Villers-devant-le-Thour;62;1;2;74;5;83;18;24;6;4;8;3;9
08477;Villers-devant-Mouzon;21;1;3;18;4;24;0;5;0;0;7;0;2
08478;Villers-le-Tilleul;20;2;3;37;6;78;9;16;1;2;9;0;2
08479;Villers-le-Tourneur;44;1;4;27;4;45;8;11;2;3;8;1;1
08480;Villers-Semeuse;720;11;52;421;54;566;113;375;33;64;71;21;43
08481;Villers-sur-Bar;55;2;4;37;9;42;19;28;0;1;4;1;5
08482;Villers-sur-le-Mont;13;1;1;20;0;14;3;15;0;1;3;1;0
08483;Ville-sur-Lumes;68;1;8;67;5;103;29;47;0;9;16;1;6
08484;Ville-sur-Retourne;10;1;0;15;6;19;2;5;0;2;7;0;0
08485;Villy;29;0;2;30;10;44;7;15;2;3;4;4;3
08486;Vireux-Molhain;272;4;20;113;27;262;35;148;8;14;15;12;19
08487;Vireux-Wallerand;383;5;17;188;20;324;82;196;16;20;19;8;18
08488;Vivier-au-Court;504;12;29;296;23;506;72;255;17;21;44;10;21
08489;Voncq;44;2;5;42;4;47;14;14;2;2;4;0;2
08490;Vouziers;763;25;56;490;64;646;125;252;36;49;110;21;44
08491;Vrigne-aux-Bois;778;24;49;399;29;767;103;350;22;47;47;18;31
08492;Vrigne-Meuse;56;2;2;37;6;81;8;13;3;4;8;1;2
08494;Wadelincourt;86;2;1;55;12;100;22;45;9;6;7;3;9
08496;Wagnon;18;1;2;13;1;15;12;6;1;5;12;2;3
08497;Warcq;236;6;15;182;24;225;64;96;10;17;34;7;22
08498;Warnécourt;53;1;11;90;4;62;10;35;0;12;13;2;4
08499;Wasigny;41;1;1;28;4;63;17;18;0;2;3;2;3
08500;Wignicourt;5;1;2;8;2;13;2;9;0;2;0;1;0
08501;Williers;7;0;0;6;0;6;2;0;0;0;0;0;1
08502;Yoncq;15;0;3;10;1;22;2;1;0;1;2;1;1
08503;Yvernaumont;21;2;4;8;2;26;3;9;0;1;2;3;2
09001;Aigues-Juntes;8;1;7;3;4;4;2;12;2;0;3;0;0
09002;Aigues-Vives;96;1;10;77;23;137;21;97;8;10;15;3;8
09003;L'Aiguillon;61;3;9;48;18;88;22;33;2;7;11;1;3
09004;Albiès;9;1;0;15;13;23;5;27;5;1;3;1;2
09005;Aleu;25;1;1;25;7;26;11;46;2;1;7;0;2
09006;Alliat;6;0;1;5;4;9;1;17;0;6;2;1;0
09007;Allières;18;0;2;5;7;6;1;19;2;3;10;1;2
09008;Alos;31;1;5;15;13;12;10;32;5;7;6;0;2
09009;Alzen;27;0;3;20;16;1;0;97;5;3;1;5;1
09011;Antras;13;0;0;8;1;10;2;30;1;0;2;1;4
09012;Appy;2;1;0;0;2;3;0;12;0;0;0;1;0
09013;Arabaux;9;0;1;19;11;4;4;7;3;2;1;1;1
09014;Argein;26;1;3;34;10;37;7;44;7;3;6;3;6
09015;Arignac;108;1;17;89;50;134;29;130;14;12;15;7;2
09016;Arnave;24;2;2;21;17;41;4;35;8;10;3;1;5
09017;Arrien-en-Bethmale;18;0;6;28;7;6;2;23;2;7;5;2;1
09018;Arrout;16;1;1;4;4;9;3;29;1;1;2;1;2
09019;Artigat;93;2;7;69;20;72;22;116;11;11;6;0;9
09020;Artigues;16;0;0;3;5;3;5;10;0;2;1;0;0
09021;Artix;10;0;7;19;7;27;6;20;2;4;0;0;1
09022;Arvigna;19;1;5;36;9;48;6;30;4;2;13;0;2
09023;Ascou;12;0;1;11;16;15;1;28;8;2;2;0;0
09024;Aston;32;4;12;32;18;45;11;25;10;10;3;4;3
09025;Aucazein;11;0;5;5;10;5;1;19;5;0;0;0;1
09026;Audressein;22;1;4;20;24;21;3;23;0;3;5;0;4
09027;Augirein;13;0;3;8;10;6;1;26;1;5;3;0;0
09029;Aulus-les-Bains;24;0;6;41;21;23;8;25;4;3;5;4;1
09030;Auzat;90;2;29;70;41;86;24;125;28;9;3;8;1
09031;Axiat;6;0;0;6;3;5;0;5;6;3;1;0;0
09032;Ax-les-Thermes;209;2;19;182;51;134;39;146;23;22;27;4;14
09033;Bagert;13;0;0;3;4;11;0;6;0;3;1;0;0
09034;Balacet;4;0;0;1;1;0;2;10;0;2;0;2;0
09035;Balaguères;27;1;5;37;23;38;11;43;0;2;6;2;3
09037;Barjac;4;0;3;9;1;1;0;14;0;0;1;0;0
09038;La Bastide-de-Besplas;44;2;3;47;13;49;14;82;3;6;3;5;0
09039;La Bastide-de-Bousignac;50;1;5;39;23;56;8;51;5;3;5;1;2
09040;La Bastide-de-Lordat;30;1;7;29;11;64;18;30;5;4;8;0;2
09041;La Bastide-du-Salat;35;1;6;22;13;30;2;37;5;4;0;2;1
09042;La Bastide-de-Sérou;123;2;2;105;55;92;30;225;27;25;20;4;18
09043;La Bastide-sur-l'Hers;137;2;20;51;39;124;18;138;9;10;11;4;4
09044;Baulou;12;1;5;37;14;22;3;46;2;4;2;2;5
09045;Bédeilhac-et-Aynat;30;2;5;17;16;43;3;37;3;5;1;0;7
09046;Bédeille;15;0;2;5;10;6;0;19;1;3;0;1;0
09047;Bélesta;190;3;9;106;48;248;45;138;4;16;24;1;12
09048;Belloc;12;0;1;12;3;17;1;21;3;2;4;1;1
09049;Bénac;23;0;7;24;12;22;1;45;10;4;8;2;2
09050;Benagues;47;3;8;51;31;80;15;50;9;14;15;0;5
09051;Bénaix;25;0;0;12;8;31;6;35;1;0;3;1;2
09052;Besset;22;0;0;32;12;31;5;16;1;6;0;1;2
09053;Bestiac;11;0;0;0;2;2;1;15;2;1;0;0;0
09054;Betchat;55;1;9;53;22;53;11;67;8;6;9;3;4
09055;Bethmale;18;1;4;18;15;15;7;35;0;0;3;0;2
09056;Bézac;37;0;11;70;17;75;11;61;13;11;6;2;2
09057;Biert;68;3;9;26;9;26;12;120;10;7;5;3;3
09058;Bompas;16;0;8;23;7;42;6;29;9;0;4;0;1
09059;Bonac-Irazein;30;0;5;15;9;7;9;48;2;4;2;0;4
09060;Bonnac;97;0;19;74;31;150;15;103;13;19;13;2;4
09061;Les Bordes-sur-Arize;81;0;9;54;34;88;16;112;10;6;7;2;8
09062;Bordes-Uchentein;42;2;6;22;12;17;1;55;14;5;3;0;3
09063;Le Bosc;44;0;3;16;5;15;10;49;2;9;2;1;1
09064;Bouan;7;1;1;2;2;8;2;20;2;0;0;0;0
09065;Boussenac;69;2;6;34;14;26;11;60;6;6;5;4;2
09066;Brassac;119;2;16;61;39;88;18;139;11;27;10;3;7
09067;Brie;38;1;0;19;9;33;9;40;6;8;5;0;4
09068;Burret;7;0;0;9;1;1;2;19;3;2;1;1;0
09069;Buzan;3;0;1;4;1;6;0;15;0;1;0;0;0
09070;Les Cabannes;51;2;8;62;26;47;18;65;4;7;13;1;5
09071;Cadarcet;44;2;9;25;15;29;5;59;12;6;4;2;6
09072;Calzan;2;0;1;2;3;12;1;7;1;1;0;1;0
09073;Camarade;30;0;6;12;13;9;15;40;8;5;1;2;5
09074;Camon;23;0;3;19;6;12;7;13;2;4;1;0;0
09075;Campagne-sur-Arize;39;0;5;38;18;28;6;83;7;11;2;2;2
09076;Canté;21;0;2;21;15;46;15;41;3;2;7;1;4
09077;Capoulet-et-Junac;38;0;6;27;15;38;9;35;0;4;2;1;1
09078;Carcanières;10;0;1;18;8;6;13;12;3;0;3;0;1
09079;Carla-Bayle;113;0;10;55;44;73;16;154;18;18;6;6;11
09080;Carla-de-Roquefort;23;0;6;17;8;25;8;29;3;7;1;1;1
09081;Le Carlaret;25;0;4;28;20;43;29;27;4;4;6;1;7
09082;Castelnau-Durban;73;2;2;63;34;36;12;73;11;6;10;1;7
09083;Castéras;2;0;1;2;1;2;1;8;2;2;0;0;0
09084;Castex;19;1;2;12;4;5;0;23;6;3;0;0;0
09085;Castillon-en-Couserans;62;1;6;54;26;26;11;81;10;9;6;1;4
09086;Caumont;42;0;2;39;29;64;16;49;5;1;7;1;2
09087;Caussou;20;1;2;12;9;10;4;5;3;0;1;0;0
09088;Caychax;1;0;1;2;1;6;1;3;0;2;1;0;0
09089;Cazals-des-Baylès;7;0;2;3;2;7;3;13;0;6;2;0;1
09090;Cazaux;9;0;1;5;3;11;2;8;0;1;1;0;1
09091;Cazavet;28;1;6;25;16;31;8;44;8;5;0;2;0
09092;Cazenave-Serres-et-Allens;13;0;0;11;2;11;5;18;1;4;0;0;3
09093;Celles;41;0;3;17;8;27;4;15;0;3;1;1;2
09094;Cérizols;26;0;4;19;11;20;6;25;6;6;3;1;1
09095;Cescau;19;1;7;19;12;26;3;34;0;1;3;1;1
09096;Château-Verdun;13;0;0;6;4;12;3;3;2;6;4;1;3
09097;Clermont;16;0;0;8;7;12;1;20;5;4;2;0;0
09098;Contrazy;15;0;0;8;4;18;5;16;0;4;2;1;1
09099;Cos;28;0;10;74;23;42;14;72;5;12;8;5;5
09100;Couflens;27;0;5;9;6;17;2;25;2;2;0;1;0
09101;Coussa;39;0;7;36;12;45;19;20;3;9;4;1;3
09102;Coutens;39;0;1;31;14;25;1;26;2;1;1;0;1
09103;Crampagna;107;1;17;120;31;128;31;141;15;19;8;6;9
09104;Dalou;111;3;17;78;49;149;32;111;16;16;8;1;10
09105;Daumazan-sur-Arize;91;1;10;88;39;76;20;146;31;13;12;5;14
09106;Dreuilhe;82;1;6;43;25;73;10;48;4;6;5;3;1
09107;Dun;110;1;17;65;38;69;12;189;16;26;5;0;12
09108;Durban-sur-Arize;31;3;4;14;9;11;5;59;13;5;3;1;3
09109;Durfort;19;0;0;15;8;35;5;22;2;1;1;1;6
09110;Encourtiech;20;0;1;10;3;9;6;28;0;3;6;0;1
09111;Engomer;63;1;10;24;18;30;6;76;13;10;6;3;3
09113;Ercé;106;3;9;75;39;75;19;122;9;11;3;1;1
09114;Erp;23;0;0;16;14;13;8;26;1;5;0;2;1
09115;Esclagne;25;0;2;9;5;31;6;25;4;0;0;0;1
09116;Escosse;43;0;5;45;9;70;19;49;7;4;3;3;6
09117;Esplas;16;0;2;10;8;18;2;14;1;4;3;0;1
09118;Esplas-de-Sérou;47;0;0;10;13;7;3;63;5;4;0;2;2
09119;Eycheil;96;1;10;58;51;63;15;90;13;8;9;4;3
09120;Fabas;49;1;6;29;15;23;12;79;6;8;8;1;1
09121;Ferrières-sur-Ariège;116;0;18;87;19;96;27;133;35;17;17;6;10
09122;Foix;1496;25;143;1056;248;899;294;1571;257;253;154;37;78
09123;Fornex;17;1;4;6;13;12;4;40;2;4;2;1;1
09124;Le Fossat;141;2;21;112;39;164;47;120;33;15;18;4;13
09125;Fougax-et-Barrineuf;109;1;6;34;20;70;20;58;9;4;7;1;5
09126;Freychenet;19;0;7;12;3;11;3;18;4;1;6;1;1
09127;Gabre;16;0;8;12;9;10;1;21;2;3;0;0;4
09128;Gajan;54;0;4;36;31;48;13;45;5;15;6;3;5
09129;Galey;38;1;4;20;15;14;11;30;1;3;7;0;0
09130;Ganac;86;4;17;88;35;99;25;133;19;21;8;4;5
09131;Garanou;30;0;2;23;7;29;8;17;3;3;1;1;3
09132;Gaudiès;54;1;5;13;15;37;8;40;1;7;10;2;2
09133;Génat;4;0;0;8;2;12;0;6;3;3;1;1;0
09134;Gestiès;6;0;4;9;3;9;1;11;8;1;2;0;0
09136;Gourbit;24;0;6;22;7;11;3;24;9;2;3;1;2
09137;Gudas;34;0;3;17;11;30;4;34;0;6;7;1;1
09138;L'Herm;18;0;2;22;12;33;9;67;2;4;2;0;0
09139;L'Hospitalet-près-l'Andorre;21;0;1;14;4;17;1;10;3;0;0;1;0
09140;Ignaux;36;0;4;37;17;36;11;21;2;9;5;0;3
09141;Illartein;16;0;0;4;11;18;7;9;0;1;0;1;0
09142;Ilhat;26;0;1;13;15;25;3;15;2;2;1;0;4
09143;Illier-et-Laramade;5;0;4;7;5;1;5;2;1;1;0;0;0
09145;Les Issards;37;1;9;30;13;35;9;47;8;8;6;0;2
09146;Justiniac;8;0;2;2;2;14;0;2;1;1;1;1;0
09147;Labatut;22;1;0;30;8;39;5;26;3;0;2;0;3
09148;Lacave;23;0;0;17;7;18;3;30;1;8;2;1;3
09149;Lacourt;36;1;1;20;19;28;14;44;4;3;1;3;2
09150;Lagarde;37;2;3;27;11;35;16;42;1;5;3;2;1
09151;Lanoux;6;1;0;3;2;6;2;16;0;2;0;0;4
09152;Lapège;10;0;1;2;2;5;3;10;2;2;2;0;0
09153;Lapenne;27;0;5;10;5;8;4;24;1;6;8;0;3
09154;Larbont;6;0;0;8;7;1;1;20;0;3;2;1;0
09155;Larcat;13;0;1;3;4;9;1;19;5;2;1;0;0
09156;Larnat;7;1;0;4;4;4;2;4;1;2;3;0;1
09157;Laroque-d'Olmes;520;7;52;243;92;362;111;376;26;27;48;12;25
09158;Lasserre;52;2;2;25;19;26;6;63;5;6;4;0;1
09159;Lassur;20;0;2;8;5;23;3;23;4;1;0;1;0
09160;Lavelanet;1523;17;81;605;203;989;230;674;79;58;72;20;65
09161;Léran;95;1;28;65;28;93;27;66;5;6;11;3;12
09162;Lercoul;19;0;0;18;4;0;4;17;1;3;1;1;0
09163;Lescousse;15;0;0;8;3;22;8;5;0;0;3;0;1
09164;Lescure;66;4;8;69;41;50;11;112;9;17;8;6;2
09165;Lesparrou;46;0;6;32;18;48;8;32;1;3;4;0;1
09166;Leychert;9;0;0;8;9;10;5;31;1;2;6;0;1
09167;Lézat-sur-Lèze;320;3;62;348;100;341;81;277;52;54;40;7;20
09168;Lieurac;35;0;2;19;3;19;7;50;1;5;0;5;0
09169;Limbrassac;14;1;3;9;8;15;11;19;1;6;2;0;0
09170;Lissac;32;0;5;27;15;35;10;47;7;6;7;0;3
09171;Lordat;7;0;0;9;6;19;6;9;3;0;1;0;1
09172;Loubaut;2;1;0;0;1;1;0;18;0;2;0;0;0
09173;Loubens;40;0;6;26;13;30;7;63;7;5;4;0;5
09174;Loubières;24;2;14;32;10;61;7;51;12;13;6;0;8
09175;Ludiès;9;1;1;6;7;18;6;19;1;1;0;0;1
09176;Luzenac;82;2;9;67;23;81;21;54;6;1;9;1;3
09177;Madière;46;3;14;25;12;50;18;57;2;0;3;2;3
09178;Malegoude;7;0;1;9;2;4;1;4;0;0;3;0;0
09179;Malléon;16;0;1;11;2;7;0;15;0;5;0;2;0
09180;Manses;17;0;2;8;2;10;8;39;2;6;3;1;0
09181;Le Mas-d'Azil;219;1;21;132;82;134;41;230;52;28;17;10;7
09182;Massat;163;0;19;67;32;55;14;227;11;15;10;4;4
09183;Mauvezin-de-Prat;10;0;2;13;5;25;4;11;1;9;3;2;0
09184;Mauvezin-de-Sainte-Croix;5;0;0;8;5;7;2;9;0;2;1;0;0
09185;Mazères;750;11;42;473;185;627;194;356;57;73;70;9;43
09186;Méras;14;1;2;6;2;9;3;32;2;3;0;0;0
09187;Mercenac;77;2;2;40;43;53;15;60;13;13;6;1;6
09188;Mercus-Garrabet;150;6;38;110;52;199;46;243;27;18;13;9;6
09189;Mérens-les-Vals;38;1;8;17;22;20;7;37;4;5;3;1;0
09190;Mérigon;19;0;5;6;3;27;3;27;2;1;2;0;2
09192;Miglos;36;1;3;31;8;18;7;31;5;5;5;1;3
09193;Mijanès;7;0;2;4;4;2;1;13;8;0;0;0;2
09194;Mirepoix;581;7;43;419;142;407;130;484;84;68;78;10;37
09195;Monesple;3;0;0;0;5;4;1;2;0;0;0;0;3
09196;Montagagne;12;0;2;2;1;3;0;29;0;2;2;3;3
09197;Montaillou;11;0;1;4;5;2;2;12;1;1;0;0;0
09198;Montardit;37;0;1;31;14;30;10;49;1;5;10;2;3
09199;Montaut;103;1;10;103;44;133;39;83;6;9;16;3;7
09200;Montbel;18;0;0;9;5;13;5;27;0;4;1;2;2
09201;Montégut-en-Couserans;11;0;4;7;6;8;1;19;3;3;1;0;1
09202;Montégut-Plantaurel;43;0;9;42;14;43;6;75;8;6;2;0;8
09203;Montels;24;0;3;16;7;19;3;58;6;6;7;3;4
09204;Montesquieu-Avantès;58;0;1;15;25;26;5;47;11;1;4;0;9
09205;Montfa;9;0;1;3;3;6;4;34;1;2;1;0;2
09206;Montferrier;115;0;4;80;28;139;29;81;18;13;15;3;4
09207;Montgailhard;194;4;31;181;66;222;62;211;22;24;40;4;19
09208;Montgauch;19;0;4;24;11;7;8;20;5;6;5;1;0
09209;Montjoie-en-Couserans;188;1;12;130;76;158;51;135;34;16;24;6;12
09210;Montoulieu;61;0;4;51;23;67;19;85;4;10;6;1;4
09211;Montségur;28;0;4;17;12;9;12;17;7;5;3;1;4
09212;Montseron;18;0;1;13;9;2;0;32;3;0;0;2;3
09213;Moulin-Neuf;26;0;2;28;14;42;8;31;9;10;3;1;5
09214;Moulis;123;5;17;113;58;95;27;165;14;19;10;7;7
09215;Nalzen;10;1;0;27;9;25;8;19;2;1;1;0;5
09216;Nescus;7;0;0;3;5;4;2;16;3;4;1;0;4
09217;Niaux;28;1;2;15;15;36;6;21;5;2;0;0;1
09218;Orgeix;22;0;1;12;11;13;9;13;6;4;2;0;1
09219;Orgibet;35;1;9;18;8;21;8;32;5;5;1;3;3
09220;Orlu;22;0;1;24;11;17;11;18;20;6;5;0;1
09221;Ornolac-Ussat-les-Bains;37;1;2;25;11;32;12;39;6;3;0;1;0
09222;Orus;9;0;0;10;0;1;1;8;0;2;0;0;0
09223;Oust;73;0;7;64;34;58;16;129;12;19;12;2;6
09224;Pailhès;63;2;17;47;18;62;9;132;5;9;3;1;6
09225;Pamiers;2289;27;160;1426;409;1790;498;1642;162;191;249;45;122
09226;Pech;8;0;0;7;4;7;3;3;3;2;1;0;0
09227;Péreille;38;1;4;27;8;27;17;25;3;2;5;2;1
09228;Perles-et-Castelet;46;2;14;22;11;35;6;38;7;12;9;2;4
09229;Le Peyrat;85;7;4;42;25;79;20;77;11;9;9;3;5
09230;Le Pla;10;0;0;5;6;7;7;11;0;0;2;0;2
09231;Le Port;45;0;5;19;6;20;9;64;4;3;0;1;2
09232;Prades;20;0;3;29;6;9;2;13;2;5;5;1;0
09233;Pradettes;5;0;0;6;6;9;4;5;2;1;5;0;2
09234;Pradières;16;0;2;14;6;18;2;24;6;4;1;0;2
09235;Prat-Bonrepaux;121;1;7;108;58;118;35;120;7;11;11;7;13
09236;Prayols;54;0;18;50;17;59;13;77;12;10;9;3;2
09237;Le Puch;8;0;0;11;5;3;2;6;3;0;0;0;0
09238;Les Pujols;111;2;18;106;49;151;28;78;17;20;10;2;12
09239;Quérigut;33;1;4;13;5;32;6;29;5;3;2;4;4
09240;Quié;44;0;7;34;19;47;10;34;7;6;5;2;2
09241;Rabat-les-Trois-Seigneurs;66;1;18;61;19;45;14;73;6;8;9;2;5
09242;Raissac;6;0;0;8;2;15;1;3;0;2;2;0;3
09243;Régat;16;0;0;5;6;20;10;10;2;2;5;1;1
09244;Rieucros;111;2;13;78;30;148;21;52;21;10;6;2;2
09245;Rieux-de-Pelleport;207;3;13;144;76;218;52;129;17;22;15;4;16
09246;Rimont;83;1;4;65;17;66;11;119;18;15;11;5;9
09247;Rivèrenert;21;0;6;27;17;27;6;48;3;5;8;0;2
09249;Roquefixade;30;1;3;26;3;15;9;14;3;5;6;1;3
09250;Roquefort-les-Cascades;15;2;1;16;5;24;0;12;4;3;3;0;0
09251;Roumengoux;37;0;2;20;10;26;4;29;7;8;4;1;5
09252;Rouze;5;0;4;11;5;9;0;8;12;0;1;0;0
09253;Sabarat;61;4;13;43;30;44;10;43;9;6;8;4;3
09254;Saint-Amadou;27;0;2;33;15;40;17;22;6;9;6;3;1
09255;Saint-Amans;10;0;0;7;3;7;0;3;1;1;2;0;0
09256;Saint-Bauzeil;15;1;0;9;13;3;2;4;0;0;1;0;1
09257;Sainte-Croix-Volvestre;84;1;14;81;27;71;26;179;12;15;7;4;9
09258;Saint-Félix-de-Rieutord;57;3;11;68;16;102;13;67;11;8;6;3;8
09259;Saint-Félix-de-Tournegat;18;0;2;15;6;28;7;30;0;0;6;0;2
09260;Sainte-Foi;2;0;0;3;0;6;6;4;2;1;0;0;0
09261;Saint-Girons;1203;14;106;753;264;627;157;885;136;99;122;25;40
09262;Saint-Jean-d'Aigues-Vives;55;1;7;42;27;88;16;43;14;5;10;3;0
09263;Saint-Jean-du-Castillonnais;4;1;1;10;2;5;2;9;0;4;0;1;0
09264;Saint-Jean-de-Verges;121;4;20;149;52;198;32;151;30;16;19;5;9
09265;Saint-Jean-du-Falga;436;6;43;356;110;482;121;279;60;37;44;4;43
09266;Saint-Julien-de-Gras-Capou;8;1;0;6;9;16;4;15;2;1;0;0;3
09267;Saint-Lary;32;1;3;22;19;27;8;27;0;5;3;1;1
09268;Saint-Lizier;179;2;27;184;81;132;54;206;37;21;36;4;8
09269;Saint-Martin-de-Caralp;41;1;9;50;26;34;3;95;7;9;10;3;3
09270;Saint-Martin-d'Oydes;28;0;1;21;22;38;7;24;4;4;6;1;7
09271;Saint-Michel;18;0;1;2;8;18;0;13;3;3;1;0;4
09272;Saint-Paul-de-Jarrat;170;11;31;188;53;239;42;193;34;28;27;5;18
09273;Saint-Pierre-de-Rivière;92;1;15;95;35;69;36;158;16;24;13;2;2
09274;Saint-Quentin-la-Tour;36;1;2;52;23;44;16;36;5;10;2;4;3
09275;Saint-Quirc;51;0;6;50;17;50;16;57;6;5;8;7;3
09276;Saint-Victor-Rouzaud;29;0;1;26;16;44;12;35;0;5;3;1;2
09277;Saint-Ybars;109;1;8;79;23;121;34;101;15;12;13;4;11
09279;Salsein;8;0;1;11;11;10;1;11;0;2;1;1;0
09280;Saurat;107;2;14;90;53;81;29;189;13;28;12;11;9
09281;Sautel;19;0;13;7;11;24;6;19;1;3;2;0;1
09282;Saverdun;789;20;65;520;218;811;207;530;101;84;109;18;54
09283;Savignac-les-Ormeaux;52;0;4;56;24;88;7;42;19;8;7;2;0
09284;Ségura;24;1;4;21;7;36;5;23;5;8;3;2;2
09285;Seix;151;2;16;124;34;78;21;189;19;12;8;2;8
09287;Senconac;3;0;0;2;1;1;0;5;0;2;0;0;0
09289;Lorp-Sentaraille;191;6;6;195;83;201;57;166;17;13;33;7;14
09290;Sentein;26;1;18;27;10;18;7;49;13;7;3;1;1
09291;Sentenac-d'Oust;28;0;2;21;6;26;5;28;1;1;3;3;1
09292;Sentenac-de-Sérou;11;0;0;5;1;10;0;16;0;2;2;0;0
09293;Serres-sur-Arget;119;1;17;76;35;103;61;164;20;27;12;8;10
09294;Sieuras;11;0;1;6;5;3;2;23;3;7;2;0;1
09295;Siguer;26;0;6;31;10;29;11;23;4;3;10;0;1
09296;Aulos-Sinsat;36;0;2;21;5;41;5;19;3;1;1;3;4
09297;Sor;4;0;0;3;5;7;0;10;0;0;0;0;0
09298;Sorgeat;13;0;0;12;3;17;5;19;1;4;0;0;2
09299;Soueix-Rogalle;57;2;12;45;26;50;21;89;11;12;8;1;7
09300;Soula;23;3;2;30;13;24;5;45;3;8;3;0;0
09301;Soulan;77;0;3;54;23;28;8;124;5;13;5;3;3
09303;Surba;58;0;10;61;32;55;24;56;8;7;9;1;2
09304;Suzan;6;0;1;1;3;2;0;12;1;1;1;0;0
09305;Tabre;61;0;4;49;25;59;17;39;8;4;4;1;2
09306;Tarascon-sur-Ariège;418;12;39;301;105;382;105;405;43;37;42;8;19
09307;Taurignan-Castet;22;1;5;17;16;33;8;24;4;4;3;0;3
09308;Taurignan-Vieux;30;0;3;37;16;32;13;31;5;3;8;1;2
