Labels;Couleurs
Abstention;#000000
Extrême-Gauche;#9d0d16
LFI;#ff3333
PCF;#f1001c
PS;#ff6d90
EELV;#23b73d
Divers Gauche;#ce2929
LREM;#ff9f0e
LR;#0890c5
Divers Droite;#654519
Debout la France;#2443a7
FN;#8d6026
Divers;#617b75
