CODGEO;LIBGEO;Abstention;Extrême-Gauche;LFI;PCF;PS;EELV;Divers Gauche;LREM;LR;Divers Droite;Debout la France;FN;Divers
71019;Barizey;63.0;0.0;6.0;1.0;5.0;3.0;0.0;25.0;13.0;0.0;0.0;20.0;0.0
71020;Barnay;46.0;0.0;3.0;0.0;17.0;5.0;0.0;10.0;3.0;0.0;2.0;3.0;0.0
71043;Les Bordes;33.0;0.0;2.0;1.0;8.0;1.0;0.0;11.0;3.0;1.0;2.0;4.0;0.0
71046;La Boulaye;31.0;0.0;0.0;0.0;6.0;0.0;0.0;15.0;4.0;0.0;0.0;0.0;2.0
71051;Bouzeron;50.0;0.0;8.0;1.0;8.0;0.0;0.0;25.0;13.0;1.0;0.0;14.0;0.0
71054;Bragny-sur-Saône;232.0;3.0;27.0;1.0;25.0;4.0;0.0;83.0;42.0;1.0;8.0;62.0;5.0
71059;Le Breuil;1457.0;5.0;102.0;23.0;500.0;27.0;0.0;371.0;277.0;2.0;14.0;161.0;9.0
71062;Brion;101.0;1.0;5.0;0.0;19.0;2.0;0.0;42.0;59.0;1.0;5.0;25.0;2.0
71063;Broye;246.0;3.0;40.0;9.0;97.0;6.0;0.0;75.0;42.0;1.0;3.0;46.0;0.0
71073;Chagny;2375.0;18.0;219.0;18.0;191.0;34.0;0.0;510.0;212.0;4.0;38.0;288.0;17.0
71078;Chamilly;52.0;0.0;5.0;0.0;8.0;4.0;0.0;21.0;5.0;1.0;1.0;6.0;1.0
71085;Change;83.0;1.0;14.0;3.0;10.0;2.0;0.0;28.0;8.0;0.0;3.0;14.0;3.0
